symptoms,grouped diseases
shoulder pain,"{'adhesive capsulitis of the shoulder': 0.004762517698545501, 'avascular necrosis': 0.0009010168618869867, 'brachial neuritis': 0.05908096280087528, 'bursitis': 0.07542798300939632, 'chronic pain disorder': 0.04183292573046724, 'de quervain disease': 0.005792251254987772, 'degenerative disc disease': 0.07903205045694427, 'dislocation of the shoulder': 0.004247650920324366, 'fracture of the arm': 0.028832539580383575, 'fracture of the rib': 0.05689277899343545, 'fracture of the shoulder': 0.011198352426309692, 'herniated disk': 0.05702149568799073, 'injury to the shoulder': 0.0334663405843738, 'injury to the trunk': 0.06011069635731754, 'lateral epicondylitis (tennis elbow)': 0.020208521045179558, 'mononeuritis': 0.042733942592354225, 'nerve impingement near the shoulder': 0.019436220877847857, 'neuralgia': 0.045050843094349334, 'open wound of the shoulder': 0.0005148667782211353, 'parathyroid adenoma': 0.0012871669455528382, 'pneumothorax': 0.02831767280216244, 'polymyalgia rheumatica': 0.009267602007980436, 'rotator cuff injury': 0.007465568284206462, 'spinal stenosis': 0.0755566997039516, 'spondylosis': 0.07671514995494916, 'sprain or strain': 0.07838846698416785, 'syringomyelia': 0.0011584502509975544, 'tendinitis': 0.04543699317801519, 'thoracic outlet syndrome': 0.012099369288196679, 'torticollis': 0.017762903848629167}"
shoulder stiffness or tightness,"{'adhesive capsulitis of the shoulder': 0.027581783194355357, 'bursitis': 0.3797305965362412, 'fracture of the arm': 0.1930724823604875, 'fracture of the shoulder': 0.04810776138550353, 'injury to the shoulder': 0.22322001282873638, 'nerve impingement near the shoulder': 0.09236690186016677, 'rotator cuff injury': 0.0359204618345093}"
shoulder weakness,"{'nerve impingement near the shoulder': 0.7046632124352331, 'rotator cuff injury': 0.29533678756476683}"
arm cramps or spasms,{'None': 0}
shoulder swelling,"{'fracture of the shoulder': 0.7191780821917808, 'mumps': 0.2534246575342466, 'valley fever': 0.0273972602739726}"
tongue lesions,"{'aphthous ulcer': 0.12925851703406813, 'mucositis': 0.156312625250501, 'open wound of the mouth': 0.05711422845691383, 'oral leukoplakia': 0.004008016032064128, 'oral mucosal lesion': 0.2955911823647295, 'oral thrush (yeast infection)': 0.35771543086172347}"
leg cramps or spasms,"{'amyotrophic lateral sclerosis (als)': 0.022448979591836733, 'arrhythmia': 0.06224489795918367, 'bone disorder': 0.09387755102040816, 'coronary atherosclerosis': 0.02806122448979592, 'deep vein thrombosis (dvt)': 0.09387755102040816, 'osteoporosis': 0.15051020408163265, 'peripheral arterial disease': 0.03316326530612245, 'sciatica': 0.16122448979591836, 'spondylolisthesis': 0.22959183673469388, 'varicose veins': 0.04285714285714286, 'venous insufficiency': 0.08214285714285714}"
abnormal appearing tongue,{'None': 0}
ache all over,"{'abdominal hernia': 0.030070026088150487, 'adhesive capsulitis of the shoulder': 0.0052176300974872995, 'ankylosing spondylitis': 0.042427571055883566, 'arthritis of the hip': 0.08444322394617602, 'chronic pain disorder': 0.04956748592612934, 'chronic pancreatitis': 0.021694356721131403, 'complex regional pain syndrome': 0.0811478786214472, 'fibromyalgia': 0.045173692159824246, 'flu': 0.04750789509817383, 'fracture of the pelvis': 0.013593299464506384, 'fracture of the rib': 0.06137580667307428, 'hematoma': 0.006453384594260607, 'hemochromatosis': 0.0002746121103940684, 'inguinal hernia': 0.03020733214334752, 'lung contusion': 0.001510366607167376, 'meningitis': 0.021007826445146233, 'neuralgia': 0.046684058766991623, 'open wound of the neck': 0.002883427159137718, 'ovarian torsion': 0.004531099821502128, 'pancreatic cancer': 0.020183990113964025, 'pilonidal cyst': 0.02361664149388988, 'rheumatoid arthritis': 0.0486063435397501, 'sickle cell anemia': 0.016888644789235206, 'sickle cell crisis': 0.06137580667307428, 'sjogren syndrome': 0.006316078539063573, 'somatization disorder': 0.005629548263078402, 'spondylosis': 0.08609089660854044, 'strep throat': 0.08348208155979679, 'systemic lupus erythematosis (sle)': 0.012082932857339008, 'thrombophlebitis': 0.031580392695317865, 'varicose veins': 0.008375669367019086}"
lower body pain,"{'acute pancreatitis': 0.07941567065073041, 'anal fissure': 0.0150066401062417, 'angina': 0.06082337317397078, 'ankylosing spondylitis': 0.03904382470119522, 'arthritis of the hip': 0.0800796812749004, 'cholecystitis': 0.0804780876494024, 'chronic back pain': 0.0600265604249668, 'degenerative disc disease': 0.061885790172642764, 'epididymitis': 0.032934926958831344, 'fracture of the neck': 0.004116865869853918, 'gallstone': 0.06122177954847278, 'hemorrhoids': 0.06294820717131475, 'injury to the trunk': 0.06108897742363878, 'malignant hypertension': 0.01248339973439575, 'open wound of the back': 0.0006640106241699867, 'pericarditis': 0.014873837981407702, 'pilonidal cyst': 0.02257636122177955, 'sciatica': 0.04674634794156707, 'scoliosis': 0.011288180610889775, 'spinal stenosis': 0.08180610889774237, 'spondylitis': 0.030146082337317397, 'spondylosis': 0.08034528552456839}"
problems during pregnancy,"{'benign vaginal discharge (leukorrhea)': 0.07962308598351, 'gestational diabetes': 0.003297997644287397, 'hyperemesis gravidarum': 0.1071849234393404, 'hypertension of pregnancy': 0.00800942285041225, 'itching of unknown cause': 0.08103651354534747, 'missed abortion': 0.04852767962308598, 'poisoning due to analgesics': 0.007538280329799764, 'postpartum depression': 0.07891637220259129, 'preeclampsia': 0.02685512367491166, 'pregnancy': 0.0021201413427561835, 'problem during pregnancy': 0.11307420494699646, 'scabies': 0.022850412249705535, 'spontaneous abortion': 0.14228504122497054, 'subacute thyroiditis': 0.005653710247349823, 'threatened pregnancy': 0.10789163722025913, 'uterine atony': 0.023792697290930507, 'vaginal cyst': 0.1413427561837456}"
spotting or bleeding during pregnancy,"{'hydatidiform mole': 0.012285927029039464, 'hypertension of pregnancy': 0.01154132539091586, 'induced abortion': 0.05658972449739389, 'missed abortion': 0.07371556217423679, 'placenta previa': 0.0029784065524944155, 'placental abruption': 0.004095309009679821, 'pregnancy': 0.0029784065524944155, 'problem during pregnancy': 0.1757259865971705, 'spontaneous abortion': 0.22561429635145197, 'threatened pregnancy': 0.16716306775874906, 'uterine atony': 0.04504839910647804, 'vaginal cyst': 0.22226358897989576}"
cramps and spasms,"{'cerebral palsy': 0.01366069780321211, 'idiopathic excessive menstruation': 0.08990215986708511, 'idiopathic irregular menstrual cycle': 0.11279305888868377, 'idiopathic painful menstruation': 0.08805611962340779, 'induced abortion': 0.026398375484585564, 'missed abortion': 0.0348901606055012, 'placenta previa': 0.0007384160974709249, 'pregnancy': 0.001661436219309581, 'problem during pregnancy': 0.08417943511168544, 'rectal disorder': 0.08288720694111132, 'spontaneous abortion': 0.11039320657190327, 'threatened pregnancy': 0.08860993169651099, 'uterine fibroids': 0.0437511537751523, 'vaginal cyst': 0.11242385083994831, 'vulvodynia': 0.10965479047443234}"
upper abdominal pain,"{'abdominal hernia': 0.035725477906612346, 'acute pancreatitis': 0.09542463177687245, 'appendicitis': 0.07145095581322469, 'cholecystitis': 0.09307427138827953, 'choledocholithiasis': 0.032748354747727984, 'cirrhosis': 0.03603885929175807, 'colonic polyp': 0.025070510811657787, 'diverticulitis': 0.09025383892196803, 'diverticulosis': 0.0540582889376371, 'esophagitis': 0.0996552804763397, 'gallstone': 0.07317455343152617, 'gastroduodenal ulcer': 0.05546850517079285, 'gastroparesis': 0.019272955186461924, 'hiatal hernia': 0.07521153243497336, 'irritable bowel syndrome': 0.04026950799122532, 'liver cancer': 0.003760576621748668, 'liver disease': 0.09934189909119398}"
stomach bloating,"{'alcoholic liver disease': 0.07420814479638009, 'appendicitis': 0.20995475113122172, 'cholecystitis': 0.26018099547511314, 'esophageal cancer': 0.02669683257918552, 'indigestion': 0.1502262443438914, 'intestinal obstruction': 0.10678733031674208, 'liver cancer': 0.012669683257918552, 'osteoporosis': 0.08235294117647059, 'ovarian cancer': 0.006334841628959276, 'pancreatic cancer': 0.06244343891402715, 'viral hepatitis': 0.008144796380090498}"
changes in stool appearance,"{'anal fissure': 0.05018979333614509, 'anemia': 0.10797132011809363, 'chronic constipation': 0.1927456769295656, 'gastroduodenal ulcer': 0.19401096583719948, 'gastrointestinal hemorrhage': 0.25221425558835936, 'hemorrhoids': 0.1952762547448334, 'neonatal jaundice': 0.007591733445803458}"
unusual color or odor to urine,"{'liver disease': 0.6552094522019334, 'sciatica': 0.3447905477980666}"
kidney mass,"{'acute kidney injury': 0.7658862876254181, 'kidney cancer': 0.07190635451505016, 'polycystic kidney disease': 0.16220735785953178}"
swollen abdomen,"{'abdominal hernia': 0.3343558282208589, 'inguinal hernia': 0.3343558282208589, 'kidney failure': 0.3312883435582822}"
symptoms of prostate,"{'benign prostatic hyperplasia (bph)': 0.4198931909212283, 'erectile dysfunction': 0.2102803738317757, 'peyronie disease': 0.006008010680907877, 'prostate cancer': 0.04672897196261682, 'urethral stricture': 0.09078771695594126, 'urinary tract obstruction': 0.22630173564753003}"
leg stiffness or tightness,"{'deep vein thrombosis (dvt)': 0.12275449101796407, 'fracture of the leg': 0.3255988023952096, 'fracture of the vertebra': 0.09131736526946108, 'knee ligament or meniscus tear': 0.036676646706586824, 'parkinson disease': 0.25673652694610777, 'vasculitis': 0.16691616766467066}"
difficulty breathing,"{'acute bronchiolitis': 0.07357283464566929, 'acute bronchitis': 0.07308070866141732, 'acute bronchospasm': 0.058070866141732284, 'acute respiratory distress syndrome (ards)': 0.02878937007874016, 'aortic valve disease': 0.029896653543307086, 'asthma': 0.05720964566929134, 'cardiac arrest': 0.021653543307086614, 'deviated nasal septum': 0.03826279527559055, 'folate deficiency': 0.004552165354330708, 'heart failure': 0.05757874015748032, 'hypernatremia': 0.004306102362204725, 'hypertensive heart disease': 0.05770177165354331, 'ischemic heart disease': 0.05610236220472441, 'nose disorder': 0.07615649606299213, 'obstructive sleep apnea (osa)': 0.0751722440944882, 'pleural effusion': 0.03580216535433071, 'pneumonia': 0.07369586614173228, 'pulmonary embolism': 0.05511811023622047, 'pulmonary fibrosis': 0.007135826771653544, 'pulmonary hypertension': 0.028543307086614175, 'sepsis': 0.05708661417322835, 'tietze syndrome': 0.03051181102362205}"
rib pain,"{'concussion': 0.29732408325074333, 'fracture of the rib': 0.2309217046580773, 'injury to the trunk': 0.2284440039643211, 'pleural effusion': 0.15857284440039643, 'tietze syndrome': 0.08473736372646185}"
joint pain,"{'arthritis of the hip': 0.13693901035673187, 'chronic knee pain': 0.014959723820483314, 'connective tissue disorder': 0.00046029919447640965, 'degenerative disc disease': 0.10794016110471806, 'gout': 0.1380897583429229, 'injury of the ankle': 0.02278481012658228, 'injury to the arm': 0.13970080552359032, 'injury to the hand': 0.016570771001150748, 'juvenile rheumatoid arthritis': 0.005063291139240506, 'lateral epicondylitis (tennis elbow)': 0.05753739930955121, 'osteoarthritis': 0.10149597238204833, 'osteoporosis': 0.04257767548906789, 'psoriasis': 0.10333716915995397, 'rheumatoid arthritis': 0.07779056386651323, 'sickle cell anemia': 0.02531645569620253, 'sjogren syndrome': 0.009436133486766397}"
muscle stiffness or tightness,"{'bone disorder': 0.9459459459459459, 'leukemia': 0.05405405405405406}"
pallor,{'None': 0}
hand or finger lump or mass,"{'ganglion cyst': 0.32379072063178677, 'paronychia': 0.20829220138203355, 'sebaceous cyst': 0.46791707798617965}"
chills,"{'acute respiratory distress syndrome (ards)': 0.053713739241313355, 'breast infection (mastitis)': 0.05323557539050048, 'choledocholithiasis': 0.03649984061204973, 'common cold': 0.09515460631176283, 'diverticulitis': 0.0964297099139305, 'drug withdrawal': 0.020720433535224736, 'flu': 0.05562639464456487, 'infectious gastroenteritis': 0.09754542556582722, 'myelodysplastic syndrome': 0.000318775900541919, 'noninfectious gastroenteritis': 0.09499521836149187, 'pneumonia': 0.09499521836149187, 'prostatitis': 0.05562639464456487, 'sepsis': 0.07236212942301562, 'strep throat': 0.09754542556582722, 'tension headache': 0.021517373286579534, 'white blood cell disease': 0.053713739241313355}"
groin pain,"{'arthritis of the hip': 0.253416149068323, 'chronic back pain': 0.18509316770186335, 'epididymitis': 0.11262939958592133, 'female genitalia infection': 0.036853002070393374, 'fracture of the pelvis': 0.03561076604554866, 'hydrocele of the testicle': 0.04596273291925466, 'induced abortion': 0.09192546583850932, 'inguinal hernia': 0.09358178053830228, 'varicocele of the testicles': 0.14492753623188406}"
fatigue,"{'acute stress reaction': 0.07468946604291014, 'anemia': 0.025971930956605903, 'anemia due to chronic kidney disease': 0.004032908533634457, 'anemia due to malignancy': 0.0014518470721084046, 'aplastic anemia': 0.00564607194708824, 'arrhythmia': 0.023229553153734473, 'atrial fibrillation': 0.005807388288433618, 'bone cancer': 0.005807388288433618, 'cardiomyopathy': 0.029843523148894983, 'central atherosclerosis': 0.0019357960961445394, 'chronic kidney disease': 0.0012905307307630263, 'coronary atherosclerosis': 0.009033715115341184, 'goiter': 0.007743184384578158, 'hemolytic anemia': 0.002903694144216809, 'hypergammaglobulinemia': 0.00016131634134537829, 'hypertensive heart disease': 0.07533473140829167, 'hypothyroidism': 0.0069366026778512665, 'iron deficiency anemia': 0.05565413776415551, 'ischemic heart disease': 0.07436683336021939, 'leukemia': 0.0008065817067268914, 'lung cancer': 0.004839490240361349, 'lyme disease': 0.017260848523955475, 'lymphoma': 0.010001613163413454, 'metastatic cancer': 0.0024197451201806745, 'mitral valve disease': 0.04081303436038071, 'multiple myeloma': 0.00467817389901597, 'multiple sclerosis': 0.07597999677367318, 'muscular dystrophy': 0.005162122923052105, 'myasthenia gravis': 0.012582674624939507, 'myelodysplastic syndrome': 0.00016131634134537829, 'narcolepsy': 0.01597031779319245, 'obstructive sleep apnea (osa)': 0.1003387643168253, 'paroxysmal ventricular tachycardia': 0.05355702532666559, 'polycythemia vera': 0.004839490240361349, 'polymyalgia rheumatica': 0.011453460235521858, 'premature atrial contractions (pacs)': 0.018551379254718503, 'primary immunodeficiency': 0.004355541216325214, 'primary insomnia': 0.015486368769156315, 'primary thrombocythemia': 0.00048394902403613486, 'psychosexual disorder': 0.013711889014357154, 'pulmonary hypertension': 0.036618809485400874, 'restless leg syndrome': 0.030650104855621873, 'testicular disorder': 0.004839490240361349, 'thoracic aortic aneurysm': 0.01403452169704791, 'thrombocytopenia': 0.01129214389417648, 'thyroid cancer': 0.0009678980480722697, 'thyroid nodule': 0.019357960961445396, 'toxic multinodular goiter': 0.00758186804323278, 'vitamin b12 deficiency': 0.006775286336505888, 'vitamin d deficiency': 0.0017744797547991611, 'white blood cell disease': 0.04081303436038071}"
abdominal distention,{'cirrhosis': 1.0}
regurgitation.1,"{'abdominal hernia': 0.050599520383693045, 'celiac disease': 0.01870503597122302, 'cholecystitis': 0.1460431654676259, 'cirrhosis': 0.04100719424460432, 'crohn disease': 0.04484412470023981, 'foreign body in the nose': 0.00023980815347721823, 'gallstone': 0.1448441247002398, 'gastritis': 0.08177458033573141, 'gastroesophageal reflux disease (gerd)': 0.055635491606714625, 'gastroparesis': 0.023980815347721823, 'hiatal hernia': 0.11031175059952038, 'intestinal disease': 0.0618705035971223, 'iron deficiency anemia': 0.08105515587529977, 'lymphoma': 0.018465227817745802, 'stricture of the esophagus': 0.011270983213429257, 'temporary or benign blood in urine': 0.1093525179856115}"
symptoms of the kidneys,"{'acute kidney injury': 0.3351435221101629, 'cholecystitis': 0.4724592707525213, 'chronic kidney disease': 0.003878975950349108, 'kidney disease due to longstanding hypertension': 0.008533747090768037, 'kidney failure': 0.10938712179984485, 'peripheral arterial disease': 0.057408844065166796, 'primary kidney disease': 0.013188518231186967}"
melena,"{'anemia': 0.08846153846153847, 'coagulation (bleeding) disorder': 0.03173076923076923, 'diverticulosis': 0.16009615384615383, 'gastrointestinal hemorrhage': 0.2841346153846154, 'hemorrhoids': 0.2173076923076923, 'rectal disorder': 0.20865384615384616, 'viral hepatitis': 0.009615384615384616}"
flushing,{'prostate cancer': 1.0}
coughing up sputum,"{'acute bronchitis': 0.22400298173686173, 'acute sinusitis': 0.16958628401043607, 'asthma': 0.22512113306000744, 'chronic obstructive pulmonary disease (copd)': 0.17778606038017145, 'myasthenia gravis': 0.033917256802087216, 'smoking or tobacco addiction': 0.16958628401043607}"
seizures,"{'alcohol withdrawal': 0.09161894846434149, 'autism': 0.058563248308172826, 'brain cancer': 0.03019260801665799, 'cerebral palsy': 0.018479958355023425, 'conduct disorder': 0.08927641853201458, 'congenital malformation syndrome': 0.0026028110359187923, 'conversion disorder': 0.0031233732431025507, 'cysticercosis': 0.004945340968245705, 'developmental disability': 0.1215512753774076, 'down syndrome': 0.01691827173347215, 'epilepsy': 0.00989068193649141, 'extrapyramidal effect of drugs': 0.011972930765226444, 'hemiplegia': 0.0676730869338886, 'hydrocephalus': 0.018479958355023425, 'hypoglycemia': 0.1618948464341489, 'hyponatremia': 0.06559083810515356, 'intracerebral hemorrhage': 0.07808433107756377, 'intracranial abscess': 0.002082248828735034, 'intracranial hemorrhage': 0.04268610098906819, 'myoclonus': 0.0018219677251431546, 'open wound of the mouth': 0.016137428422696512, 'stroke': 0.08537220197813639, 'tuberous sclerosis': 0.001041124414367517}"
delusions or hallucinations,"{'adjustment reaction': 0.049267271458478715, 'alcohol withdrawal': 0.04452198185624564, 'alzheimer disease': 0.02512212142358688, 'bipolar disorder': 0.04787159804605722, 'delirium': 0.04228890439637125, 'dementia': 0.024563852058618284, 'depression': 0.0647592463363573, 'developmental disability': 0.06448011165387299, 'drug abuse': 0.0413119330076762, 'drug abuse (barbiturates)': 0.004047452896022331, 'drug abuse (cocaine)': 0.0209351011863224, 'drug abuse (opioids)': 0.0413119330076762, 'impulse control disorder': 0.03335659455687369, 'lewy body dementia': 0.0053035589672016745, 'marijuana abuse': 0.08360083740404746, 'neurosis': 0.06182833217027216, 'personality disorder': 0.06587578506629449, 'poisoning due to antipsychotics': 0.000837404047452896, 'post-traumatic stress disorder (ptsd)': 0.04228890439637125, 'postpartum depression': 0.04591765526866713, 'primary insomnia': 0.013398464759246336, 'psychotic disorder': 0.06489881367759945, 'schizophrenia': 0.06266573621772505, 'social phobia': 0.034473133286810884, 'substance-related mental disorder': 0.015073272854152128}"
shoulder cramps or spasms,{'None': 0}
joint stiffness or tightness,{'None': 0}
pain or soreness of breast,"{'breast cancer': 0.0061068702290076335, 'breast cyst': 0.0183206106870229, 'breast infection (mastitis)': 0.4015267175572519, 'fibroadenoma': 0.0916030534351145, 'fibrocystic breast disease': 0.015267175572519083, 'galactorrhea of unknown cause': 0.00916030534351145, 'gynecomastia': 0.0549618320610687, 'idiopathic absence of menstruation': 0.3786259541984733, 'mastectomy': 0.024427480916030534}"
excessive urination at night,"{'benign prostatic hyperplasia (bph)': 0.3419391853126793, 'bladder cancer': 0.0378657487091222, 'erectile dysfunction': 0.17728055077452667, 'hypercholesterolemia': 0.0017211703958691911, 'prostate cancer': 0.039586919104991396, 'urge incontinence': 0.1434308663224326, 'urinary tract obstruction': 0.25817555938037867}"
bleeding from eye,"{'macular degeneration': 0.7634228187919463, 'subconjunctival hemorrhage': 0.23657718120805368}"
rectal bleeding,"{'anal fissure': 0.025848142164781908, 'anal fistula': 0.003000230786983614, 'chronic constipation': 0.10662358642972536, 'colonic polyp': 0.039695361181629356, 'colorectal cancer': 0.002538656819755366, 'crohn disease': 0.03923378721440111, 'diverticulosis': 0.10477729056081236, 'gastrointestinal hemorrhage': 0.14401107777521346, 'hemorrhoids': 0.10823909531502424, 'hepatitis due to a toxin': 0.05654281098546042, 'iron deficiency anemia': 0.0821601661666282, 'noninfectious gastroenteritis': 0.139395338102931, 'rectal disorder': 0.10639279944611124, 'ulcerative colitis': 0.04154165705054235}"
constipation,"{'anal fissure': 0.02863202545068929, 'autism': 0.05911983032873807, 'chronic constipation': 0.12513255567338283, 'diverticulitis': 0.16940615058324496, 'hemorrhoids': 0.12460233297985154, 'hirschsprung disease': 0.003181336161187699, 'hypocalcemia': 0.006097560975609756, 'ileus': 0.05911983032873807, 'intestinal obstruction': 0.05938494167550371, 'ischemia of the bowel': 0.03685047720042418, 'oral thrush (yeast infection)': 0.12062566277836691, 'pinworm infection': 0.019618239660657476, 'rectal disorder': 0.12539766702014846, 'urge incontinence': 0.06283138918345706}"
temper problems,"{'attention deficit hyperactivity disorder (adhd)': 0.03901498294021658, 'autism': 0.03308114523067794, 'bipolar disorder': 0.04717400979083222, 'conduct disorder': 0.052514463729417, 'depression': 0.07031597685803294, 'developmental disability': 0.07061266874350987, 'diaper rash': 0.08945260347129506, 'drug abuse (opioids)': 0.04836077733273995, 'dysthymic disorder': 0.04895416110369381, 'impulse control disorder': 0.02788903723483163, 'marijuana abuse': 0.08811748998664887, 'obsessive compulsive disorder (ocd)': 0.033229491173416406, 'oppositional disorder': 0.030114226375908618, 'personality disorder': 0.08915591158581813, 'post-traumatic stress disorder (ptsd)': 0.047619047619047616, 'psychotic disorder': 0.06868417148790981, 'schizophrenia': 0.0669040201750482, 'sickle cell anemia': 0.01720812935766207, 'teething syndrome': 0.03159768580329328}"
coryza,"{'abscess of nose': 0.019316304485957555, 'acute bronchiolitis': 0.0733257084762994, 'acute bronchitis': 0.07993391790570593, 'acute bronchospasm': 0.05604269919939001, 'acute otitis media': 0.05667810395221756, 'acute sinusitis': 0.06201550387596899, 'asthma': 0.05820307535900369, 'chronic obstructive pulmonary disease (copd)': 0.06138009912314144, 'common cold': 0.05807599440843818, 'conjunctivitis': 0.06099885627144491, 'croup': 0.05604269919939001, 'flu': 0.04308044224170797, 'laryngitis': 0.04333460414283899, 'nose disorder': 0.07535900368534756, 'otitis media': 0.06112593722201042, 'pneumonia': 0.0757402465370441, 'seasonal allergies (hay fever)': 0.05934680391409328}"
wrist weakness,{'amyloidosis': 1.0}
eye strain,{'None': 0}
hemoptysis,"{'acute pancreatitis': 0.2857142857142857, 'graves disease': 0.07445323406235459, 'head and neck cancer': 0.11028385295486273, 'lung cancer': 0.01582131223825035, 'pulmonary embolism': 0.20521172638436483, 'pulmonary hypertension': 0.10330386226151698, 'smoking or tobacco addiction': 0.20521172638436483}"
lymphedema,"{'aortic valve disease': 0.08715083798882682, 'diabetic peripheral neuropathy': 0.13072625698324022, 'hemangioma': 0.12513966480446928, 'ischemic heart disease': 0.16573556797020483, 'lymphedema': 0.12216014897579143, 'peripheral arterial disease': 0.02197392923649907, 'rosacea': 0.11955307262569832, 'thrombophlebitis': 0.0856610800744879, 'varicose veins': 0.0186219739292365, 'vasculitis': 0.05661080074487896, 'venous insufficiency': 0.06666666666666667}"
skin on leg or foot looks infected,"{'decubitus ulcer': 0.00414651002073255, 'ingrown toe nail': 0.21078092605390464, 'onychomycosis': 0.1852107809260539, 'open wound of the foot': 0.010366275051831375, 'osteomyelitis': 0.0718728403593642, 'paronychia': 0.15549412577747063, 'postoperative infection': 0.042156185210780926, 'thrombophlebitis': 0.15687629578438148, 'venous insufficiency': 0.1630960608154803}"
allergic reaction,"{'allergy': 0.08008767492834261, 'allergy to animals': 0.004383746417130332, 'asthma': 0.0802562805597707, 'chronic otitis media': 0.056820097791266226, 'conjunctivitis due to allergy': 0.10268082953970663, 'contact dermatitis': 0.08329118192547631, 'deviated nasal septum': 0.05142471758556736, 'drug reaction': 0.08042488619119878, 'eczema': 0.10133198448828191, 'envenomation from spider or animal bite': 0.03911650649131681, 'eustachian tube dysfunction (ear disorder)': 0.07587253414264036, 'food allergy': 0.040296745911313436, 'intestinal malabsorption': 0.013825661777103355, 'itching of unknown cause': 0.04602933737986849, 'meniere disease': 0.02326757713707638, 'nasal polyp': 0.03169785870848087, 'poisoning due to antimicrobial drugs': 0.007755859045692126, 'seasonal allergies (hay fever)': 0.07823301298263362, 'tourette syndrome': 0.0032035069971337042}"
congestion in chest,"{'acute bronchitis': 0.42766407904022585, 'chronic obstructive pulmonary disease (copd)': 0.3203952011291461, 'chronic sinusitis': 0.24135497529992944, 'tuberculosis': 0.01058574453069866}"
muscle swelling,"{'cholesteatoma': 0.06037735849056604, 'chorioretinitis': 0.23018867924528302, 'cyst of the eyelid': 0.04905660377358491, 'myoclonus': 0.03018867924528302, 'pituitary adenoma': 0.05660377358490566, 'premature atrial contractions (pacs)': 0.5547169811320755, 'von willebrand disease': 0.018867924528301886}"
pus in urine,{'None': 0}
abnormal size or shape of ear,{'None': 0}
low back weakness,{'blepharospasm': 1.0}
sleepiness,"{'concussion': 0.2114506498068142, 'drug poisoning due to medication': 0.03828591499824376, 'hypoglycemia': 0.21426062521952932, 'interstitial lung disease': 0.08886547242711626, 'narcolepsy': 0.04039339655778012, 'obesity': 0.001053740779768177, 'obstructive sleep apnea (osa)': 0.20864067439409906, 'poisoning due to sedatives': 0.02072356866877415, 'premature ventricular contractions (pvcs)': 0.07657182999648753, 'primary insomnia': 0.04671584123638918, 'restless leg syndrome': 0.049877063575693714, 'wilson disease': 0.003161222339304531}"
apnea,"{'deviated nasal septum': 0.18438844499078058, 'hirsutism': 0.014751075599262446, 'narcolepsy': 0.06392132759680394, 'obstructive sleep apnea (osa)': 0.37246465888137675, 'pulmonary hypertension': 0.1800860479409957, 'restless leg syndrome': 0.08358942839582052, 'tonsillar hypertrophy': 0.10079901659496004}"
abnormal breathing sounds,"{'croup': 0.1717996289424861, 'deviated nasal septum': 0.1150278293135436, 'eustachian tube dysfunction (ear disorder)': 0.1810760667903525, 'interstitial lung disease': 0.09053803339517626, 'obstructive sleep apnea (osa)': 0.22597402597402597, 'primary insomnia': 0.03896103896103896, 'tonsillar hypertrophy': 0.0849721706864564, 'tonsillitis': 0.09165120593692022}"
excessive growth,{'hormone disorder': 1.0}
elbow cramps or spasms,{'None': 0}
feeling hot and cold,{'None': 0}
blood clots during menstrual periods,"{'idiopathic excessive menstruation': 0.1716611172770995, 'idiopathic painful menstruation': 0.16648168701442842, 'missed abortion': 0.06363300036995931, 'spontaneous abortion': 0.21642619311875694, 'threatened pregnancy': 0.15797262301146875, 'vaginal cyst': 0.2238253792082871}"
absence of menstruation,"{'endometrial cancer': 0.11965811965811966, 'idiopathic absence of menstruation': 0.4444444444444444, 'menopause': 0.05811965811965812, 'polycystic ovarian syndrome (pcos)': 0.31965811965811963, 'premature ovarian failure': 0.05811965811965812}"
pulling at ears,"{'acute bronchiolitis': 0.16770186335403728, 'chronic otitis media': 0.09627329192546584, 'croup': 0.13269339356295878, 'diaper rash': 0.1281761716544325, 'ear drum damage': 0.1324110671936759, 'ear wax impaction': 0.09599096555618294, 'otitis media': 0.1281761716544325, 'sickle cell anemia': 0.03274985883681536, 'viral exanthem': 0.08582721626199886}"
gum pain,"{'broken tooth': 0.03871268656716418, 'congenital malformation syndrome': 0.0023320895522388058, 'dental caries': 0.2849813432835821, 'gum disease': 0.21735074626865672, 'oral mucosal lesion': 0.13992537313432835, 'tooth abscess': 0.16324626865671643, 'tooth disorder': 0.15345149253731344}"
redness in ear,"{'acute otitis media': 0.11681005956320317, 'chronic otitis media': 0.11151555261416281, 'conductive hearing loss': 0.09960291197882197, 'ear drum damage': 0.15684976836532097, 'eustachian tube dysfunction (ear disorder)': 0.1499007279947055, ""otitis externa (swimmer's ear)"": 0.15651886168100596, 'teething syndrome': 0.07643944407677035, 'tonsillar hypertrophy': 0.05890138980807412, 'tonsillitis': 0.07346128391793515}"
fluid retention,"{'allergy': 0.14386959603118354, 'diabetic ketoacidosis': 0.08103000236239075, 'envenomation from spider or animal bite': 0.05504370422867942, 'fluid overload': 0.0368532955350815, 'heart failure': 0.10725253957004488, 'heat exhaustion': 0.031419796834396406, 'hepatic encephalopathy': 0.005905976848570754, 'infectious gastroenteritis': 0.14245216158752658, 'insect bite': 0.07725017717930546, 'itching of unknown cause': 0.07961256791873376, 'lymphedema': 0.06378454996456413, 'noninfectious gastroenteritis': 0.13914481455232697, 'venous insufficiency': 0.03638081738719584}"
flu-like syndrome,"{'common cold': 0.4397705544933078, 'infectious gastroenteritis': 0.5602294455066922}"
