diseases,grouped symptoms,disease probability
injury of the ankle,"{'wrist swelling': 0.7967032967032966, 'ankle pain': 0.554945054945055, 'joint pain': 0.5439560439560439, 'foot or toe weakness': 0.5439560439560439, 'foot or toe swelling': 0.5384615384615384, 'ankle swelling': 0.521978021978022, 'leg pain': 0.5054945054945055, 'foot or toe pain': 0.46153846153846156}",0.01
injury to internal organ,"{'frequent urination': 0.8473282442748091, 'sharp chest pain': 0.7938931297709924, 'retention of urine': 0.7557251908396947, 'back pain': 0.6793893129770993, 'side pain': 0.6183206106870229, 'sharp abdominal pain': 0.5648854961832062}",0.001
injury to the abdomen,"{'leg pain': 0.953125, 'back pain': 0.890625, 'blood in urine': 0.734375, 'sharp abdominal pain': 0.59375, 'sharp chest pain': 0.5625}",0.002
injury to the arm,"{'wrist swelling': 0.5235732009925558, 'loss of sensation': 0.5078577336641853, 'elbow swelling': 0.5053763440860215, 'arm stiffness or tightness': 0.5045492142266336, 'elbow pain': 0.5020678246484698, 'joint pain': 0.5020678246484698, 'arm pain': 0.5012406947890818, 'bones are painful': 0.4987593052109181, 'wrist pain': 0.49793217535153017, 'arm swelling': 0.49710504549214224, 'hand or finger swelling': 0.4946236559139785, 'hand or finger pain': 0.48635235732009924}",0.002
injury to the face,"{'diminished hearing': 0.7824175824175824, 'neck stiffness or tightness': 0.6923076923076923, 'neck pain': 0.5516483516483517, 'nosebleed': 0.5362637362637362, 'mouth pain': 0.5142857142857142, 'ear pain': 0.5076923076923077, 'bleeding from ear': 0.4901098901098901, 'headache': 0.47692307692307695, 'facial pain': 0.45054945054945056}",0.002
injury to the finger,"{'swelling of scrotum': 0.8571428571428571, 'hand or finger pain': 0.5714285714285714, 'hand or finger swelling': 0.5714285714285714, 'hand or finger stiffness or tightness': 0.2857142857142857}",0.002
injury to the hand,"{'wrist swelling': 0.8888888888888888, 'hand or finger swelling': 0.5873015873015873, 'hand or finger pain': 0.5793650793650794, 'joint pain': 0.5714285714285714, 'wrist pain': 0.5476190476190477, 'hand or finger stiffness or tightness': 0.5158730158730159, 'skin growth': 0.47619047619047616}",0.002
injury to the hip,"{'hand or finger swelling': 0.9375, 'neck pain': 0.75, 'leg pain': 0.5, 'hip pain': 0.4375}",0.002
injury to the knee,"{'foot or toe swelling': 0.7169811320754716, 'leg pain': 0.6981132075471698, 'knee weakness': 0.6792452830188679, 'knee pain': 0.5660377358490566, 'problems with movement': 0.3584905660377358}",0.002
injury to the leg,"{'leg swelling': 0.5232172470978441, 'problems with movement': 0.5165837479270315, 'knee swelling': 0.5157545605306799, 'knee pain': 0.511608623548922, 'ankle swelling': 0.5099502487562189, 'foot or toe pain': 0.5074626865671642, 'foot or toe swelling': 0.5058043117744611, 'ankle pain': 0.5049751243781094, 'leg pain': 0.49834162520729686, 'irregular appearing nails': 0.49834162520729686, 'infant feeding problem': 0.4925373134328358, 'knee stiffness or tightness': 0.4917081260364842}",0.002
injury to the shoulder,"{'shoulder stiffness or tightness': 0.6823529411764706, 'bones are painful': 0.6784313725490196, 'muscle cramps, contractures, or spasms': 0.6725490196078432, 'arm stiffness or tightness': 0.5254901960784314, 'elbow pain': 0.5137254901960784, 'shoulder pain': 0.5098039215686274, 'back pain': 0.4843137254901961, 'neck pain': 0.4803921568627451, 'arm pain': 0.46862745098039216}",0.002
injury to the spinal cord,"{'retention of urine': 0.9655172413793104, 'headache': 0.7931034482758621, 'back pain': 0.6896551724137931, 'neck pain': 0.5862068965517241}",0.001
injury to the trunk,"{'symptoms of the scrotum and testes': 0.6839779005524862, 'neck pain': 0.538121546961326, 'back pain': 0.5160220994475138, 'shoulder pain': 0.5160220994475138, 'rib pain': 0.5093922651933702, 'lower body pain': 0.5082872928176796, 'low back pain': 0.507182320441989, 'wrist pain': 0.49392265193370166, 'headache': 0.49060773480662984, 'sharp chest pain': 0.4861878453038674, 'bones are painful': 0.4839779005524862}",0.001
insect bite,"{'leg swelling': 0.6875934230194319, 'hand or finger swelling': 0.6771300448430493, 'skin rash': 0.5366218236173393, 'peripheral edema': 0.5246636771300448, 'abnormal appearing skin': 0.515695067264574, 'itching of skin': 0.5127055306427504, 'skin lesion': 0.5067264573991032, 'skin swelling': 0.48878923766816146, 'fluid retention': 0.48878923766816146, 'lip swelling': 0.4813153961136024}",0.005
insulin overdose,"{'depressive or psychotic symptoms': 1.0, 'emotional symptoms': 1.0}",0.0005
interstitial lung disease,"{'sore throat': 0.6594911937377691, 'shortness of breath': 0.6438356164383562, 'wheezing': 0.639921722113503, 'cough': 0.5342465753424658, 'nasal congestion': 0.5166340508806262, 'fever': 0.5166340508806262, 'headache': 0.5068493150684932, 'sleepiness': 0.49510763209393344, 'abnormal breathing sounds': 0.4774951076320939}",0.005
intertrigo (skin condition),"{'acne or pimples': 0.8476190476190476, 'skin lesion': 0.7904761904761904, 'skin rash': 0.5904761904761905, 'skin swelling': 0.5619047619047619, 'abnormal appearing skin': 0.5523809523809524, 'skin dryness, peeling, scaliness, or roughness': 0.5047619047619047}",0.01
intestinal cancer,"{'throat feels tight': 0.9387755102040817, 'foot or toe swelling': 0.7551020408163265, 'neck mass': 0.7346938775510204, 'sharp abdominal pain': 0.7142857142857143, 'diarrhea': 0.5102040816326531}",0.002
intestinal disease,"{'fainting': 0.7049608355091384, 'burning abdominal pain': 0.6840731070496083, 'regurgitation': 0.6736292428198434, 'regurgitation.1': 0.6736292428198434, 'nausea': 0.6631853785900783, 'vomiting': 0.5169712793733682, 'sharp chest pain': 0.4960835509138381, 'diarrhea': 0.48825065274151436, 'sharp abdominal pain': 0.4856396866840731}",0.01
intestinal malabsorption,"{'cough': 0.84472049689441, 'flatulence': 0.8385093167701864, 'vomiting': 0.577639751552795, 'diarrhea': 0.5652173913043478, 'nasal congestion': 0.5341614906832298, 'allergic reaction': 0.5093167701863354, 'sharp abdominal pain': 0.5031055900621118}",0.02
intestinal obstruction,"{'vaginal itching': 0.7707865168539326, 'nausea': 0.6584269662921348, 'stomach bloating': 0.5303370786516854, 'sharp abdominal pain': 0.5213483146067416, 'retention of urine': 0.5123595505617977, 'vomiting': 0.5056179775280899, 'pain of the anus': 0.503370786516854, 'constipation': 0.503370786516854, 'burning abdominal pain': 0.4966292134831461}",0.01
intracerebral hemorrhage,"{'diminished vision': 0.7761194029850746, 'focal weakness': 0.5223880597014925, 'nausea': 0.5041459369817579, 'headache': 0.49917081260364843, 'seizures': 0.4975124378109453, 'weakness': 0.49585406301824214, 'dizziness': 0.4892205638474295, 'blindness': 0.4892205638474295, 'depressive or psychotic symptoms': 0.4842454394693201, 'vomiting': 0.46766169154228854}",0.002
intracranial abscess,"{'headache': 1.0, 'depressive or psychotic symptoms': 0.9166666666666666, 'seizures': 0.6666666666666666}",0.001
intracranial hemorrhage,"{'depressive or psychotic symptoms': 0.7857142857142857, 'abnormal involuntary movements': 0.7111801242236024, 'vomiting': 0.7080745341614907, 'headache': 0.5714285714285714, 'difficulty speaking': 0.5279503105590062, 'dizziness': 0.5217391304347826, 'seizures': 0.5093167701863354, 'diminished vision': 0.4751552795031056}",0.002
intussusception,"{'blood in stool': 1.0, 'emotional symptoms': 0.75, 'sharp abdominal pain': 0.75}",0.001
iridocyclitis,"{'headache': 0.6935483870967742, 'foreign body sensation in eye': 0.6774193548387096, 'lacrimation': 0.6673387096774194, 'pain in eye': 0.5544354838709677, 'eye redness': 0.532258064516129, 'eye burns or stings': 0.5020161290322581, 'diminished vision': 0.49193548387096775, 'symptoms of eye': 0.4899193548387097, 'cloudy eye': 0.4798387096774194}",0.001
iron deficiency anemia,"{'intermenstrual bleeding': 0.6617862371888726, 'heartburn': 0.6617862371888726, 'weakness': 0.5241581259150805, 'heavy menstrual flow': 0.5241581259150805, 'rectal bleeding': 0.5212298682284041, 'fatigue': 0.5051244509516838, 'blood in stool': 0.49633967789165445, 'regurgitation': 0.49487554904831627, 'weight gain': 0.49487554904831627, 'regurgitation.1': 0.49487554904831627, 'dizziness': 0.493411420204978}",0.05
irritable bowel syndrome,"{'flatulence': 0.6823529411764706, 'insomnia': 0.6705882352941176, 'nausea': 0.6627450980392157, 'lower abdominal pain': 0.5117647058823529, 'sharp abdominal pain': 0.503921568627451, 'upper abdominal pain': 0.503921568627451, 'diarrhea': 0.4823529411764706, 'burning abdominal pain': 0.4823529411764706, 'anxiety and nervousness': 0.4666666666666667}",0.03
ischemia of the bowel,"{'nausea': 0.6996466431095406, 'blood in stool': 0.6925795053003534, 'retention of urine': 0.6713780918727915, 'burning abdominal pain': 0.6713780918727915, 'vomiting': 0.6395759717314488, 'sharp abdominal pain': 0.519434628975265, 'constipation': 0.4911660777385159}",0.005
ischemic heart disease,"{'muscle pain': 0.6376975169300225, 'sharp chest pain': 0.5383747178329571, 'peripheral edema': 0.5338600451467269, 'chest tightness': 0.5248306997742663, 'fatigue': 0.5203160270880361, 'palpitations': 0.5146726862302483, 'difficulty breathing': 0.5146726862302483, 'dizziness': 0.5112866817155757, 'throat feels tight': 0.5022573363431151, 'lymphedema': 0.5022573363431151, 'shortness of breath': 0.4909706546275395}",0.15
itching of unknown cause,"{'problems during pregnancy': 0.6825396825396826, 'fluid retention': 0.6686507936507936, 'vaginal itching': 0.6607142857142857, 'allergic reaction': 0.5416666666666666, 'itchy scalp': 0.5218253968253969, 'abnormal appearing skin': 0.503968253968254, 'itching of skin': 0.503968253968254, 'skin rash': 0.48412698412698413, 'skin dryness, peeling, scaliness, or roughness': 0.4781746031746032}",0.05
jaw disorder,"{'difficulty in swallowing': 0.7559523809523809, 'neck mass': 0.6785714285714286, 'jaw swelling': 0.6636904761904762, 'headache': 0.5357142857142857, 'toothache': 0.5119047619047619, 'peripheral edema': 0.5119047619047619, 'mouth pain': 0.5, 'facial pain': 0.49107142857142855}",0.02
joint effusion,"{'wrist pain': 0.7594654788418709, 'knee stiffness or tightness': 0.6993318485523385, 'ankle swelling': 0.5412026726057907, 'knee swelling': 0.5367483296213809, 'ankle pain': 0.534521158129176, 'problems with movement': 0.5100222717149221, 'wrist swelling': 0.5077951002227171, 'knee pain': 0.5077951002227171, 'elbow pain': 0.48106904231625836}",0.03
juvenile rheumatoid arthritis,"{'wrist swelling': 0.9393939393939394, 'hand or finger pain': 0.9090909090909091, 'joint pain': 0.6666666666666666, 'back pain': 0.6060606060606061, 'knee pain': 0.6060606060606061}",0.01
kaposi sarcoma,"{'depression': 1.0, 'elbow weakness': 1.0}",0.001
kidney cancer,"{'groin mass': 0.7875, 'involuntary urination': 0.7875, 'blood in urine': 0.6125, 'kidney mass': 0.5375, 'retention of urine': 0.5125}",0.02
kidney disease due to longstanding hypertension,"{'feeling cold': 0.9411764705882353, 'shortness of breath': 0.6470588235294118, 'symptoms of the kidneys': 0.6470588235294118, 'difficulty speaking': 0.4117647058823529}",0.03
kidney failure,"{'swollen abdomen': 0.7659574468085106, 'sharp chest pain': 0.6879432624113475, 'nausea': 0.5354609929078015, 'arm swelling': 0.5141843971631206, 'vomiting': 0.5070921985815603, 'shortness of breath': 0.5035460992907801, 'symptoms of the kidneys': 0.5, 'leg swelling': 0.48936170212765956}",0.02
kidney stone,"{'vomiting': 0.7057522123893806, 'back pain': 0.5265486725663717, 'side pain': 0.5243362831858407, 'frequent urination': 0.5132743362831859, 'painful urination': 0.5099557522123894, 'low back pain': 0.5088495575221239, 'suprapubic pain': 0.5011061946902655, 'sharp abdominal pain': 0.49336283185840707, 'lower abdominal pain': 0.49004424778761063, 'retention of urine': 0.48008849557522126, 'blood in urine': 0.4778761061946903}",0.1
knee ligament or meniscus tear,"{'knee lump or mass': 0.8679245283018868, 'knee stiffness or tightness': 0.5660377358490566, 'leg weakness': 0.5660377358490566, 'knee weakness': 0.5566037735849056, 'knee swelling': 0.5283018867924528, 'knee pain': 0.5094339622641509, 'leg stiffness or tightness': 0.46226415094339623}",0.03
labyrinthitis,"{'ear pain': 0.6987767584097859, 'diminished hearing': 0.6681957186544343, 'vomiting': 0.5351681957186545, 'loss of sensation': 0.5275229357798165, 'headache': 0.5168195718654435, 'sweating': 0.5168195718654435, 'nausea': 0.5045871559633027, 'dizziness': 0.4984709480122324, 'spots or clouds in vision': 0.4969418960244648, 'plugged feeling in ear': 0.4908256880733945}",0.005
lactose intolerance,"{'nasal congestion': 0.8540145985401459, 'flatulence': 0.7445255474452555, 'impotence': 0.7372262773722628, 'burning abdominal pain': 0.5693430656934306, 'shortness of breath': 0.5547445255474452, 'diarrhea': 0.5109489051094891}",0.1
laryngitis,"{'throat feels tight': 0.6917404129793511, 'difficulty speaking': 0.6607669616519174, 'sore throat': 0.5162241887905604, 'fever': 0.5147492625368731, 'nasal congestion': 0.5132743362831859, 'ear pain': 0.5132743362831859, 'cough': 0.5117994100294986, 'coryza': 0.5029498525073747, 'difficulty in swallowing': 0.49557522123893805, 'hoarse voice': 0.4808259587020649}",0.05
lateral epicondylitis (tennis elbow),"{'joint pain': 0.7418397626112759, 'hand or finger stiffness or tightness': 0.685459940652819, 'hand or finger pain': 0.6706231454005934, 'arm pain': 0.543026706231454, 'elbow pain': 0.5252225519287834, 'wrist pain': 0.5192878338278932, 'loss of sensation': 0.516320474777448, 'shoulder pain': 0.4658753709198813}",0.02
leukemia,"{'muscle stiffness or tightness': 1.0, 'mouth pain': 0.6, 'fatigue': 0.5, 'fever': 0.4}",0.003
lewy body dementia,"{'hostile behavior': 0.8354430379746836, 'depressive or psychotic symptoms': 0.7341772151898734, 'abnormal involuntary movements': 0.6329113924050633, 'disturbance of memory': 0.5316455696202531, 'delusions or hallucinations': 0.4810126582278481}",0.001
lice,"{'nasal congestion': 0.9384615384615385, 'leg lump or mass': 0.8461538461538461, 'itchy scalp': 0.8153846153846154, 'cough': 0.5846153846153846, 'itching of skin': 0.5846153846153846}",0.05
lichen planus,"{'difficulty speaking': 1.0, 'abnormal appearing skin': 1.0, 'skin growth': 1.0}",0.002
lichen simplex,"{'vaginal itching': 0.9322033898305084, 'difficulty speaking': 0.8135593220338984, 'itching of skin': 0.6101694915254238, 'skin lesion': 0.559322033898305, 'skin rash': 0.5423728813559322}",0.002
lipoma,"{'bones are painful': 0.6827485380116959, 'groin mass': 0.6564327485380117, 'arm lump or mass': 0.5219298245614035, 'abnormal appearing skin': 0.5160818713450293, 'shoulder lump or mass': 0.5116959064327485, 'neck mass': 0.5102339181286549, 'skin lesion': 0.5043859649122807, 'skin growth': 0.5029239766081871, 'back mass or lump': 0.49415204678362573, 'skin swelling': 0.4678362573099415}",0.01
liver cancer,"{'groin mass': 0.9387755102040817, 'decreased appetite': 0.6530612244897959, 'sharp abdominal pain': 0.5714285714285714, 'stomach bloating': 0.5714285714285714, 'upper abdominal pain': 0.4897959183673469}",0.005
liver disease,"{'upper abdominal pain': 0.5244003308519437, 'nausea': 0.5210918114143921, 'blood in stool': 0.511166253101737, 'peripheral edema': 0.5103391232423491, 'jaundice': 0.5095119933829612, 'sharp abdominal pain': 0.5070306038047974, 'unusual color or odor to urine': 0.5045492142266336, 'side pain': 0.4987593052109181, 'diarrhea': 0.49710504549214224, 'weakness': 0.49710504549214224, 'heartburn': 0.49545078577336643, 'shortness of breath': 0.4772539288668321}",0.02
lumbago,"{'hip pain': 0.7628205128205128, 'side pain': 0.7435897435897436, 'muscle pain': 0.6794871794871795, 'low back cramps or spasms': 0.6602564102564102, 'low back pain': 0.6025641025641025, 'back pain': 0.5961538461538461, 'leg pain': 0.5576923076923077}",0.05
lung cancer,"{'hemoptysis': 0.6666666666666666, 'fatigue': 0.5882352941176471, 'cough': 0.5686274509803921, 'shortness of breath': 0.5294117647058824, 'smoking problems': 0.5098039215686274, 'decreased appetite': 0.5098039215686274, 'leg weakness': 0.5098039215686274}",0.02
lung contusion,"{'shortness of breath': 1.0, 'sharp chest pain': 0.8, 'ache all over': 0.7333333333333333, 'back pain': 0.6}",0.01
lyme disease,"{'hip pain': 0.8341232227488151, 'depressive or psychotic symptoms': 0.6872037914691943, 'headache': 0.6777251184834123, 'fever': 0.5497630331753555, 'abnormal appearing skin': 0.5213270142180095, 'fatigue': 0.5071090047393365, 'symptoms of the face': 0.5023696682464455}",0.01
lymphadenitis,"{'cough': 0.7660044150110376, 'sharp abdominal pain': 0.6512141280353201, 'neck swelling': 0.5408388520971302, 'fever': 0.5320088300220751, 'neck pain': 0.5077262693156733, 'sore throat': 0.5033112582781457, 'neck mass': 0.4966887417218543, 'ear pain': 0.4966887417218543, 'skin swelling': 0.4878587196467991}",0.02
lymphangitis,"{'arm pain': 1.0, 'neck swelling': 1.0}",0.005
lymphedema,"{'foot or toe swelling': 0.6693069306930693, 'throat swelling': 0.6673267326732674, 'lymphedema': 0.6495049504950495, 'fluid retention': 0.5346534653465347, 'skin lesion': 0.5267326732673268, 'abnormal appearing skin': 0.5168316831683168, 'leg swelling': 0.5128712871287129, 'leg pain': 0.500990099009901, 'peripheral edema': 0.49504950495049505}",0.02
lymphogranuloma venereum,"{'ear pain': 0.95, 'knee lump or mass': 0.85, 'sore throat': 0.55}",0.001
lymphoma,"{'groin mass': 0.8345864661654135, 'hoarse voice': 0.7518796992481203, 'itchy ear(s)': 0.7443609022556391, 'regurgitation': 0.5789473684210527, 'neck mass': 0.5789473684210527, 'regurgitation.1': 0.5789473684210527, 'fatigue': 0.46616541353383456}",0.005
macular degeneration,"{'double vision': 0.6743674367436744, 'foreign body sensation in eye': 0.5390539053905391, 'blindness': 0.5225522552255225, 'lacrimation': 0.5137513751375138, 'abnormal movement of eyelid': 0.5082508250825083, 'bleeding from eye': 0.5005500550055005, 'spots or clouds in vision': 0.49944994499449946, 'pain in eye': 0.49724972497249725, 'diminished vision': 0.4961496149614962, 'itchiness of eye': 0.49174917491749176, 'symptoms of eye': 0.49064906490649063}",0.05
magnesium deficiency,"{'sharp chest pain': 1.0, 'shortness of breath': 0.8857142857142857, 'dizziness': 0.7428571428571429, 'leg pain': 0.5142857142857142}",0.002
malaria,"{'fainting': 1.0, 'headache': 0.8666666666666667, 'knee lump or mass': 0.8, 'fever': 0.6666666666666666}",0.0005
male genitalia infection,"{'irritable infant': 0.8260869565217391, 'swelling of scrotum': 0.7753623188405797, 'abnormal appearing skin': 0.6811594202898551, 'bumps on penis': 0.6594202898550725, 'pain in testicles': 0.6159420289855072, 'mass in scrotum': 0.572463768115942}",0.01
malignant hypertension,"{'insomnia': 0.8232044198895028, 'depressive or psychotic symptoms': 0.7734806629834254, 'headache': 0.5524861878453039, 'vomiting': 0.5359116022099447, 'lower body pain': 0.5193370165745856, 'shortness of breath': 0.5027624309392266, 'sharp chest pain': 0.4696132596685083}",0.001
marijuana abuse,"{'abusing alcohol': 0.5256198347107438, 'excessive anger': 0.5198347107438016, 'low self-esteem': 0.5190082644628099, 'hostile behavior': 0.5165289256198347, 'fears and phobias': 0.5115702479338843, 'drug abuse': 0.509090909090909, 'depressive or psychotic symptoms': 0.4991735537190083, 'depression': 0.4983471074380165, 'delusions or hallucinations': 0.49504132231404957, 'difficulty speaking': 0.4933884297520661, 'temper problems': 0.4909090909090909, 'anxiety and nervousness': 0.4884297520661157}",0.02
mastectomy,"{'arm stiffness or tightness': 0.9411764705882353, 'pain or soreness of breast': 0.9411764705882353, 'skin swelling': 0.7058823529411765}",0.001
mastoiditis,"{'diminished hearing': 0.7916666666666666, 'nasal congestion': 0.7777777777777778, 'cough': 0.75, 'dizziness': 0.5555555555555556, 'ear pain': 0.5208333333333334, 'facial pain': 0.4722222222222222}",0.005
meckel diverticulum,"{'lower abdominal pain': 1.0, 'knee lump or mass': 1.0}",0.001
melanoma,"{'swollen lymph nodes': 0.7933579335793358, 'itchy eyelid': 0.6494464944649446, 'skin growth': 0.5424354243542435, 'irregular appearing scalp': 0.5350553505535055, 'skin lesion': 0.5313653136531366, 'abnormal appearing skin': 0.5239852398523985, 'skin moles': 0.5092250922509225, 'skin swelling': 0.5018450184501845}",0.005
meniere disease,"{'facial pain': 0.7829181494661922, 'ear pain': 0.6654804270462633, 'ringing in ear': 0.5231316725978647, 'nausea': 0.5195729537366548, 'dizziness': 0.5124555160142349, 'diminished hearing': 0.5088967971530249, 'headache': 0.501779359430605, 'allergic reaction': 0.49110320284697506}",0.01
meningioma,"{'dizziness': 1.0, 'depressive or psychotic symptoms': 0.9444444444444444, 'headache': 0.7222222222222222, 'weakness': 0.7222222222222222, 'disturbance of memory': 0.7222222222222222}",0.001
meningitis,"{'cough': 0.7777777777777778, 'nausea': 0.7609427609427609, 'fever': 0.531986531986532, 'vomiting': 0.5286195286195287, 'ache all over': 0.5151515151515151, 'neck pain': 0.5117845117845118, 'headache': 0.48484848484848486, 'neck stiffness or tightness': 0.45791245791245794}",0.002
menopause,"{'vaginal itching': 0.868421052631579, 'involuntary urination': 0.8289473684210527, 'hot flashes': 0.75, 'sweating': 0.5789473684210527, 'absence of menstruation': 0.4473684210526316, 'unpredictable menstruation': 0.39473684210526316}",0.05
metabolic disorder,"{'jaundice': 0.9705882352941176, 'arm stiffness or tightness': 0.8235294117647058, 'smoking problems': 0.47058823529411764, 'weight gain': 0.35294117647058826}",0.02
metastatic cancer,"{'vaginal dryness': 0.8518518518518519, 'neck mass': 0.5555555555555556, 'focal weakness': 0.5555555555555556, 'fatigue': 0.5555555555555556, 'decreased appetite': 0.5185185185185185}",0.003
migraine,"{'blindness': 0.6561085972850679, 'nausea': 0.5656108597285068, 'diminished vision': 0.5429864253393665, 'vomiting': 0.5384615384615384, 'spots or clouds in vision': 0.5339366515837104, 'disturbance of memory': 0.5158371040723982, 'dizziness': 0.5113122171945701, 'headache': 0.502262443438914, 'symptoms of the face': 0.4841628959276018}",0.15
missed abortion,"{'blood in stool': 0.8186666666666667, 'problems during pregnancy': 0.5493333333333333, 'intermenstrual bleeding': 0.5386666666666666, 'spotting or bleeding during pregnancy': 0.528, 'cramps and spasms': 0.504, 'sharp abdominal pain': 0.49866666666666665, 'pain during pregnancy': 0.49866666666666665, 'lower abdominal pain': 0.49066666666666664, 'blood clots during menstrual periods': 0.45866666666666667}",0.01
mitral valve disease,"{'sweating': 0.6865079365079365, 'shortness of breath': 0.6785714285714286, 'irregular heartbeat': 0.6626984126984127, 'chest tightness': 0.5456349206349206, 'nightmares': 0.5257936507936508, 'dizziness': 0.5158730158730159, 'fatigue': 0.501984126984127, 'sharp chest pain': 0.49603174603174605, 'increased heart rate': 0.4742063492063492}",0.005
mittelschmerz,"{'diarrhea': 0.9622641509433962, 'vomiting': 0.5849056603773585, 'painful menstruation': 0.5849056603773585, 'lower abdominal pain': 0.5660377358490566, 'pelvic pain': 0.5660377358490566, 'sharp abdominal pain': 0.5471698113207547}",0.01
molluscum contagiosum,"{'acne or pimples': 0.7025440313111546, 'abnormal appearing skin': 0.6829745596868885, 'knee lump or mass': 0.6614481409001957, 'itching of skin': 0.5244618395303327, 'warts': 0.5068493150684932, 'skin lesion': 0.49510763209393344, 'skin rash': 0.4911937377690802, 'skin dryness, peeling, scaliness, or roughness': 0.47162426614481406, 'skin swelling': 0.46966731898238745}",0.005
mononeuritis,"{'leg pain': 0.6627218934911243, 'hand or finger pain': 0.6627218934911243, 'wrist pain': 0.5295857988165681, 'hand or finger weakness': 0.5251479289940828, 'ankle pain': 0.5177514792899408, 'arm pain': 0.5088757396449705, 'loss of sensation': 0.5059171597633136, 'elbow pain': 0.4985207100591716, 'foot or toe pain': 0.4940828402366864, 'shoulder pain': 0.4911242603550296}",0.001
mononucleosis,"{'cough': 0.7945619335347432, 'swollen lymph nodes': 0.716012084592145, 'feeling ill': 0.6918429003021148, 'sore throat': 0.5468277945619335, 'fever': 0.5347432024169184, 'headache': 0.5196374622356495, 'skin rash': 0.513595166163142, 'nasal congestion': 0.48942598187311176}",0.005
moyamoya disease,"{'depressive or psychotic symptoms': 1.0, 'elbow weakness': 0.9166666666666666}",0.0005
mucositis,"{'irritable infant': 0.754325259515571, 'difficulty in swallowing': 0.7439446366782007, 'mouth ulcer': 0.5709342560553633, 'mouth pain': 0.5467128027681661, 'tongue lesions': 0.5397923875432526, 'sore throat': 0.5363321799307958, 'decreased appetite': 0.5190311418685121, 'fever': 0.4844290657439446}",0.002
multiple myeloma,"{'lip swelling': 0.9215686274509803, 'problems with movement': 0.6274509803921569, 'fatigue': 0.5686274509803921, 'disturbance of memory': 0.5490196078431373, 'weakness': 0.45098039215686275}",0.001
multiple sclerosis,"{'abnormal involuntary movements': 0.6703296703296703, 'leg weakness': 0.5417582417582417, 'loss of sensation': 0.5351648351648352, 'fatigue': 0.5175824175824176, 'weakness': 0.512087912087912, 'disturbance of memory': 0.512087912087912, 'problems with movement': 0.510989010989011, 'paresthesia': 0.4978021978021978, 'headache': 0.4901098901098901, 'dizziness': 0.489010989010989, 'focal weakness': 0.4846153846153846}",0.002
mumps,"{'swollen lymph nodes': 0.9111111111111111, 'shoulder swelling': 0.8222222222222222, 'ear pain': 0.8, 'sore throat': 0.6888888888888889}",0.005
muscle spasm,"{'low back pain': 0.6843657817109144, 'leg pain': 0.6696165191740413, 'headache': 0.5294985250737463, 'loss of sensation': 0.523598820058997, 'neck pain': 0.5206489675516224, 'arm pain': 0.5176991150442478, 'back pain': 0.504424778761062, 'muscle cramps, contractures, or spasms': 0.5, 'abnormal involuntary movements': 0.49262536873156343, 'sharp chest pain': 0.4778761061946903}",0.05
muscular dystrophy,"{'cough': 0.9333333333333333, 'hip pain': 0.9333333333333333, 'fatigue': 0.7111111111111111, 'nasal congestion': 0.6888888888888889, 'feeling cold': 0.37777777777777777}",0.001
myasthenia gravis,"{'shortness of breath': 0.9104477611940298, 'dizziness': 0.9029850746268657, 'coughing up sputum': 0.6791044776119403, 'double vision': 0.6119402985074627, 'weakness': 0.6044776119402985, 'fatigue': 0.582089552238806, 'slurring words': 0.5149253731343284}",0.001
myelodysplastic syndrome,"{'difficulty speaking': 1.0, 'chills': 0.6666666666666666, 'fatigue': 0.3333333333333333}",0.001
myocarditis,"{'sharp chest pain': 1.0, 'dizziness': 1.0, 'palpitations': 1.0}",0.002
myoclonus,"{'insomnia': 1.0, 'muscle swelling': 0.7272727272727273, 'seizures': 0.6363636363636364, 'abnormal involuntary movements': 0.5454545454545454}",0.001
myopia,"{'foreign body sensation in eye': 0.7767857142857143, 'eye deviation': 0.6495535714285714, 'eye redness': 0.5267857142857143, 'diminished vision': 0.5223214285714286, 'pain in eye': 0.5200892857142857, 'blindness': 0.5133928571428571, 'symptoms of eye': 0.5089285714285714, 'eye moves abnormally': 0.5089285714285714, 'spots or clouds in vision': 0.5022321428571429}",0.1
myositis,"{'hip pain': 0.8248175182481752, 'problems with movement': 0.7737226277372263, 'headache': 0.7372262773722628, 'leg pain': 0.583941605839416, 'knee pain': 0.5401459854014599, 'loss of sensation': 0.4744525547445255}",0.001
narcolepsy,"{'insomnia': 0.7956989247311828, 'disturbance of memory': 0.7634408602150538, 'shortness of breath': 0.7043010752688172, 'sleepiness': 0.6182795698924731, 'apnea': 0.5591397849462365, 'headache': 0.5483870967741935, 'fatigue': 0.532258064516129}",0.001
nasal polyp,"{'frontal headache': 0.7078651685393258, 'painful sinuses': 0.7050561797752809, 'hoarse voice': 0.6825842696629213, 'cough': 0.6825842696629213, 'headache': 0.5702247191011236, 'nasal congestion': 0.547752808988764, 'allergic reaction': 0.5280898876404494, 'facial pain': 0.5028089887640449}",0.02
necrotizing fasciitis,"{'leg pain': 1.0, 'hip pain': 1.0, 'elbow weakness': 0.6666666666666666}",0.0005
neonatal jaundice,"{'lack of growth': 0.9411764705882353, 'infant feeding problem': 0.6176470588235294, 'jaundice': 0.5588235294117647, 'changes in stool appearance': 0.5294117647058824, 'irritable infant': 0.4411764705882353}",0.005
