Disease,Recommendations,Doctor
malaria,"['Consult a healthcare provider for evaluation', 'Consider antimalarial treatment and monitoring', 'Engage in preventive measures if at risk']",Infectious Disease Specialist
male genitalia infection,"['Consult a healthcare provider for evaluation', 'Consider antibiotic or antifungal treatment', 'Engage in monitoring for symptoms']",Urologist
malignant hypertension,"['Consult a healthcare provider for immediate evaluation', 'Consider aggressive blood pressure management', 'Engage in monitoring and follow-up care']",Cardiologist
marijuana abuse,"['Consult a mental health professional for evaluation', 'Consider counseling and support groups', 'Engage in monitoring and treatment planning']",Addiction Specialist
mastectomy,"['Consult a healthcare provider for postoperative care', 'Consider rehabilitation and counseling', 'Engage in regular follow-up care']",Oncologist
mastoiditis,"['Consult an otolaryngologist for evaluation', 'Consider antibiotics and possible surgical intervention', 'Engage in monitoring for recovery']",Otolaryngologist
meckel diverticulum,"['Consult a healthcare provider for evaluation', 'Consider imaging studies and possible surgical intervention', 'Engage in follow-up care']",Gastroenterologist
melanoma,"['Consult a dermatologist or oncologist for evaluation', 'Consider surgical excision and possible adjunctive therapy', 'Engage in regular follow-up care']",Oncologist
meniere disease,"['Consult an otolaryngologist for evaluation', 'Consider medications for symptoms and dietary changes', 'Engage in monitoring for recurrence']",Otolaryngologist
meningioma,"['Consult a neurosurgeon for evaluation', 'Consider imaging studies and possible surgical intervention', 'Engage in regular follow-up care']",Neurosurgeon
meningitis,"['Seek immediate medical attention', 'Consider lumbar puncture for diagnosis', 'Engage in treatment based on causative agent']",Infectious Disease Specialist
menopause,"['Consult a healthcare provider for evaluation', 'Consider hormone replacement therapy and lifestyle modifications', 'Engage in monitoring for symptoms']",Gynecologist
metabolic disorder,"['Consult a healthcare provider for evaluation', 'Consider dietary modifications and treatment of underlying conditions', 'Engage in regular follow-up care']",Endocrinologist
metastatic cancer,"['Consult an oncologist for evaluation', 'Consider treatment options based on primary cancer type', 'Engage in regular follow-up care']",Oncologist
migraine,"['Consult a healthcare provider for evaluation', 'Consider lifestyle modifications and preventive medications', 'Engage in monitoring for triggers and symptoms']",Neurologist
missed abortion,"['Consult a healthcare provider for evaluation', 'Consider emotional support and counseling', 'Engage in follow-up care for physical recovery']",Obstetrician
mitral valve disease,"['Consult a cardiologist for evaluation', 'Consider echocardiogram and treatment options', 'Engage in regular follow-up care']",Cardiologist
mittelschmerz,"['Consult a healthcare provider for evaluation', 'Consider pain management and monitoring', 'Engage in tracking menstrual cycles']",Gynecologist
molluscum contagiosum,"['Consult a dermatologist for evaluation', 'Consider topical treatments and monitoring', 'Engage in hygiene practices to prevent spread']",Dermatologist
mononeuritis,"['Consult a healthcare provider for evaluation', 'Consider imaging studies and possible treatment', 'Engage in follow-up care']",Neurologist
mononucleosis,"['Consult a healthcare provider for evaluation', 'Consider rest and supportive care', 'Engage in monitoring for complications']",Infectious Disease Specialist
moyamoya disease,"['Consult a neurologist for evaluation', 'Consider imaging studies and treatment options', 'Engage in regular follow-up care']",Neurologist
mucositis,"['Consult a healthcare provider for evaluation', 'Consider supportive care and pain management', 'Engage in monitoring for recovery']",Oncologist
multiple myeloma,"['Consult a hematologist for evaluation', 'Consider chemotherapy and supportive care', 'Engage in regular follow-up care']",Oncologist
multiple sclerosis,"['Consult a neurologist for evaluation', 'Consider disease-modifying therapies and support', 'Engage in monitoring for symptoms and progression']",Neurologist
mumps,"['Consult a healthcare provider for evaluation', 'Consider supportive care and monitoring', 'Engage in vaccination and preventive measures']",Infectious Disease Specialist
muscle spasm,"['Consult a healthcare provider for evaluation', 'Consider stretching and hydration', 'Engage in monitoring for underlying causes']",Orthopedic Specialist
muscular dystrophy,"['Consult a neurologist for evaluation', 'Consider physical therapy and supportive care', 'Engage in regular follow-up care']",Neurologist
myasthenia gravis,"['Consult a neurologist for evaluation', 'Consider medications and lifestyle adjustments', 'Engage in monitoring for symptoms']",Neurologist
myelodysplastic syndrome,"['Consult a hematologist for evaluation', 'Consider treatment options based on severity', 'Engage in regular follow-up care']",Hematologist
myocarditis,"['Consult a cardiologist for evaluation', 'Consider imaging studies and management', 'Engage in follow-up care for recovery']",Cardiologist
myoclonus,"['Consult a neurologist for evaluation', 'Consider treatment options based on underlying cause', 'Engage in monitoring for symptoms']",Neurologist
myopia,"['Consult an ophthalmologist for evaluation', 'Consider corrective lenses or surgery', 'Engage in regular eye examinations']",Ophthalmologist
myositis,"['Consult a healthcare provider for evaluation', 'Consider medications and physical therapy', 'Engage in regular follow-up care']",Neurologist
narcolepsy,"['Consult a sleep specialist for evaluation', 'Consider lifestyle modifications and medications', 'Engage in monitoring for symptoms']",Neurologist
nasal polyp,"['Consult an otolaryngologist for evaluation', 'Consider medical treatment or surgical options', 'Engage in monitoring for recurrence']",Otolaryngologist
necrotizing fasciitis,"['Seek immediate medical attention', 'Consider surgical intervention and antibiotics', 'Engage in intensive monitoring and follow-up care']",Infectious Disease Specialist
neonatal jaundice,"['Consult a pediatrician for evaluation', 'Consider phototherapy and monitoring', 'Engage in follow-up care']",Pediatrician
nerve impingement near the shoulder,"['Consult an orthopedic specialist for evaluation', 'Consider physical therapy and pain management', 'Engage in monitoring for improvement']",Orthopedic Specialist
neuralgia,"['Consult a healthcare provider for evaluation', 'Consider pain management options and therapies', 'Engage in follow-up care']",Neurologist
neurofibromatosis,"['Consult a geneticist or neurologist for evaluation', 'Consider monitoring and management of symptoms', 'Engage in regular follow-up care']",Neurologist
neuropathy due to drugs,"['Consult a healthcare provider for evaluation', 'Consider medication review and adjustments', 'Engage in monitoring for symptoms']",Neurologist
neurosis,"['Consult a mental health professional for evaluation', 'Consider therapy and coping strategies', 'Engage in follow-up care']",Psychiatrist
nonalcoholic liver disease (nash),"['Consult a hepatologist for evaluation', 'Consider lifestyle modifications and monitoring', 'Engage in regular follow-up care']",Hepatologist
noninfectious gastroenteritis,"['Consult a healthcare provider for evaluation', 'Consider dietary modifications and hydration', 'Engage in monitoring for recovery']",Gastroenterologist
normal pressure hydrocephalus,"['Consult a neurologist for evaluation', 'Consider imaging studies and management options', 'Engage in regular follow-up care']",Neurosurgeon
nose disorder,"['Consult an otolaryngologist for evaluation', 'Consider imaging studies and treatment options', 'Engage in monitoring for symptoms']",Otolaryngologist
obesity,"['Consult a healthcare provider for evaluation', 'Consider lifestyle modifications and possible medications', 'Engage in regular follow-up care']",Endocrinologist
obsessive compulsive disorder (ocd),"['Consult a mental health professional for evaluation', 'Consider cognitive-behavioral therapy and medications', 'Engage in follow-up care']",Psychiatrist
obstructive sleep apnea (osa),"['Consult a sleep specialist for evaluation', 'Consider sleep studies and treatment options', 'Engage in regular follow-up care']",Pulmonologist
omphalitis,"['Consult a healthcare provider for evaluation', 'Consider antibiotics and monitoring', 'Engage in follow-up care']",Pediatrician
onychomycosis,"['Consult a dermatologist for evaluation', 'Consider antifungal treatments and monitoring', 'Engage in hygiene practices to prevent recurrence']",Dermatologist
open wound due to trauma,"['Consult a healthcare provider for evaluation', 'Consider cleaning and possible suturing', 'Engage in monitoring for infection']",General Surgeon
open wound from surgical incision,"['Consult a healthcare provider for evaluation', 'Consider wound care and monitoring for complications', 'Engage in follow-up care']",General Surgeon
open wound of the abdomen,"['Seek immediate medical attention', 'Consider surgical intervention and monitoring', 'Engage in follow-up care']",General Surgeon
open wound of the arm,"['Consult a healthcare provider for evaluation', 'Consider cleaning and possible suturing', 'Engage in monitoring for infection']",Orthopedic Specialist
open wound of the back,"['Consult a healthcare provider for evaluation', 'Consider cleaning and wound care', 'Engage in monitoring for infection']",General Surgeon
open wound of the cheek,"['Consult a healthcare provider for evaluation', 'Consider cleaning and possible suturing', 'Engage in monitoring for infection']",Oral and Maxillofacial Surgeon
open wound of the chest,"['Seek immediate medical attention', 'Consider surgical intervention and monitoring', 'Engage in follow-up care']",Thoracic Surgeon
open wound of the ear,"['Consult a healthcare provider for evaluation', 'Consider cleaning and monitoring for infection', 'Engage in follow-up care']",Otolaryngologist
open wound of the eye,"['Seek immediate medical attention', 'Consider ophthalmic evaluation and treatment', 'Engage in monitoring for complications']",Ophthalmologist
open wound of the face,"['Consult a healthcare provider for evaluation', 'Consider cleaning and possible suturing', 'Engage in monitoring for infection']",Oral and Maxillofacial Surgeon
open wound of the finger,"['Consult a healthcare provider for evaluation', 'Consider cleaning and possible suturing', 'Engage in monitoring for infection']",Orthopedic Specialist
open wound of the foot,"['Consult a healthcare provider for evaluation', 'Consider cleaning and possible suturing', 'Engage in monitoring for infection']",Podiatrist
open wound of the hand,"['Consult a healthcare provider for evaluation', 'Consider cleaning and possible suturing', 'Engage in monitoring for infection']",Orthopedic Specialist
open wound of the head,"['Seek immediate medical attention', 'Consider imaging studies and wound care', 'Engage in monitoring for complications']",General Surgeon
open wound of the jaw,"['Consult a healthcare provider for evaluation', 'Consider cleaning and possible suturing', 'Engage in monitoring for infection']",Oral and Maxillofacial Surgeon
open wound of the knee,"['Consult a healthcare provider for evaluation', 'Consider cleaning and possible suturing', 'Engage in monitoring for infection']",Orthopedic Specialist
open wound of the lip,"['Consult a healthcare provider for evaluation', 'Consider cleaning and possible suturing', 'Engage in monitoring for infection']",Oral and Maxillofacial Surgeon
open wound of the mouth,"['Consult a healthcare provider for evaluation', 'Consider cleaning and monitoring for infection', 'Engage in follow-up care']",Oral and Maxillofacial Surgeon
open wound of the neck,"['Seek immediate medical attention', 'Consider imaging studies and wound care', 'Engage in monitoring for complications']",General Surgeon
open wound of the nose,"['Consult a healthcare provider for evaluation', 'Consider cleaning and monitoring for infection', 'Engage in follow-up care']",Otolaryngologist
open wound of the shoulder,"['Consult a healthcare provider for evaluation', 'Consider cleaning and possible suturing', 'Engage in monitoring for infection']",Orthopedic Specialist
oppositional disorder,"['Consult a mental health professional for evaluation', 'Consider behavioral therapy and family support', 'Engage in follow-up care']",Psychiatrist
optic neuritis,"['Consult an ophthalmologist for evaluation', 'Consider imaging studies and treatment options', 'Engage in regular follow-up care']",Ophthalmologist
oral leukoplakia,"['Consult a healthcare provider for evaluation', 'Consider biopsy and monitoring', 'Engage in follow-up care']",Dentist
oral mucosal lesion,"['Consult a dentist or oral specialist for evaluation', 'Consider biopsy and treatment options', 'Engage in regular monitoring']",Dentist
oral thrush (yeast infection),"['Consult a healthcare provider for evaluation', 'Consider antifungal treatments', 'Engage in monitoring for recurrence']",Dentist
orbital cellulitis,"['Seek immediate medical attention', 'Consider antibiotics and possible surgery', 'Engage in monitoring for complications']",Ophthalmologist
orthostatic hypotension,"['Consult a healthcare provider for evaluation', 'Consider lifestyle modifications and treatment options', 'Engage in monitoring for symptoms']",Cardiologist
osteoarthritis,"['Consult a healthcare provider for evaluation', 'Consider physical therapy and pain management', 'Engage in regular follow-up care']",Rheumatologist
osteochondroma,"['Consult an orthopedic surgeon for evaluation', 'Consider monitoring and surgical options if necessary', 'Engage in follow-up care']",Orthopedic Specialist
osteochondrosis,"['Consult a healthcare provider for evaluation', 'Consider physical therapy and monitoring', 'Engage in follow-up care']",Orthopedic Specialist
osteomyelitis,"['Consult a healthcare provider for evaluation', 'Consider antibiotics and possible surgery', 'Engage in monitoring for recovery']",Infectious Disease Specialist
osteoporosis,"['Consult a healthcare provider for evaluation', 'Consider lifestyle modifications and medications', 'Engage in regular follow-up care']",Endocrinologist
otitis externa (swimmer's ear),"['Consult a healthcare provider for evaluation', 'Consider antibiotic ear drops and pain management', 'Engage in follow-up care']",Otolaryngologist
otitis media,"['Consult a healthcare provider for evaluation', 'Consider antibiotics and monitoring', 'Engage in follow-up care']",Otolaryngologist
otosclerosis,"['Consult an otolaryngologist for evaluation', 'Consider hearing aids or surgical options', 'Engage in monitoring for hearing loss']",Otolaryngologist
ovarian cancer,"['Consult a gynecologic oncologist for evaluation', 'Consider imaging studies and treatment options', 'Engage in regular follow-up care']",Oncologist
ovarian cyst,"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible treatment', 'Engage in follow-up care']",Gynecologist
ovarian torsion,"['Seek immediate medical attention', 'Consider surgical intervention', 'Engage in monitoring for complications']",Gynecologist
overflow incontinence,"['Consult a healthcare provider for evaluation', 'Consider lifestyle modifications and treatments', 'Engage in follow-up care']",Urologist
pain after an operation,"['Consult a healthcare provider for evaluation', 'Consider pain management options', 'Engage in monitoring for recovery']",Pain Specialist
pain disorder affecting the neck,"['Consult a healthcare provider for evaluation', 'Consider physical therapy and pain management', 'Engage in follow-up care']",Orthopedic Specialist
pancreatic cancer,"['Consult a gastroenterologist or oncologist for evaluation', 'Consider imaging studies and treatment options', 'Engage in regular follow-up care']",Oncologist
panic attack,"['Consult a mental health professional for evaluation', 'Consider therapy and coping strategies', 'Engage in follow-up care']",Psychiatrist
panic disorder,"['Consult a mental health professional for evaluation', 'Consider therapy and medications', 'Engage in regular follow-up care']",Psychiatrist
parasitic disease,"['Consult a healthcare provider for evaluation', 'Consider antiparasitic medications and monitoring', 'Engage in preventive measures']",Infectious Disease Specialist
parathyroid adenoma,"['Consult an endocrinologist for evaluation', 'Consider monitoring and possible surgery', 'Engage in follow-up care']",Endocrinologist
parkinson disease,"['Consult a neurologist for evaluation', 'Consider medications and supportive care', 'Engage in regular follow-up care']",Neurologist
paronychia,"['Consult a healthcare provider for evaluation', 'Consider warm soaks and antibiotics', 'Engage in monitoring for infection']",Dermatologist
paroxysmal supraventricular tachycardia,"['Consult a cardiologist for evaluation', 'Consider monitoring and treatment options', 'Engage in follow-up care']",Cardiologist
paroxysmal ventricular tachycardia,"['Consult a cardiologist for evaluation', 'Consider monitoring and treatment options', 'Engage in follow-up care']",Cardiologist
pelvic fistula,"['Consult a gynecologist or urologist for evaluation', 'Consider surgical intervention and monitoring', 'Engage in follow-up care']",Gynecologist
pelvic inflammatory disease,"['Consult a healthcare provider for evaluation', 'Consider antibiotics and monitoring', 'Engage in follow-up care']",Gynecologist
pelvic organ prolapse,"['Consult a gynecologist for evaluation', 'Consider pelvic floor exercises and monitoring', 'Engage in follow-up care']",Gynecologist
pemphigus,"['Consult a dermatologist for evaluation', 'Consider immunosuppressive therapies and monitoring', 'Engage in regular follow-up care']",Dermatologist
pericarditis,"['Consult a cardiologist for evaluation', 'Consider anti-inflammatory medications and monitoring', 'Engage in follow-up care']",Cardiologist
peripheral arterial disease,"['Consult a healthcare provider for evaluation', 'Consider lifestyle modifications and monitoring', 'Engage in regular follow-up care']",Vascular Specialist
peripheral arterial embolism,"['Seek immediate medical attention', 'Consider imaging studies and possible surgery', 'Engage in monitoring for recovery']",Vascular Surgeon
peripheral nerve disorder,"['Consult a neurologist for evaluation', 'Consider physical therapy and monitoring', 'Engage in follow-up care']",Neurologist
perirectal infection,"['Consult a healthcare provider for evaluation', 'Consider antibiotics and possible surgical intervention', 'Engage in monitoring for recovery']",Colorectal Surgeon
peritonitis,"['Seek immediate medical attention', 'Consider surgical intervention and antibiotics', 'Engage in monitoring for recovery']",Gastroenterologist
peritonsillar abscess,"['Seek immediate medical attention', 'Consider drainage and antibiotics', 'Engage in monitoring for recovery']",Otolaryngologist
persistent vomiting of unknown cause,"['Consult a healthcare provider for evaluation', 'Consider imaging studies and laboratory tests', 'Engage in follow-up care']",Gastroenterologist
personality disorder,"['Consult a mental health professional for evaluation', 'Consider therapy and support groups', 'Engage in follow-up care']",Psychiatrist
peyronie disease,"['Consult a urologist for evaluation', 'Consider treatment options including medication or surgery', 'Engage in follow-up care']",Urologist
pharyngitis,"['Consult a healthcare provider for evaluation', 'Consider pain management and monitoring', 'Engage in follow-up care if symptoms persist']",Otolaryngologist
phimosis,"['Consult a healthcare provider for evaluation', 'Consider topical treatments or circumcision', 'Engage in monitoring for complications']",Urologist
pilonidal cyst,"['Consult a healthcare provider for evaluation', 'Consider drainage and possible surgery', 'Engage in follow-up care']",General Surgeon
pinguecula,"['Consult an ophthalmologist for evaluation', 'Consider lubricating eye drops and monitoring', 'Engage in regular eye check-ups']",Ophthalmologist
pinworm infection,"['Consult a healthcare provider for evaluation', 'Consider antiparasitic medications', 'Engage in hygiene measures to prevent recurrence']",Infectious Disease Specialist
pituitary adenoma,"['Consult an endocrinologist for evaluation', 'Consider imaging studies and treatment options', 'Engage in regular follow-up care']",Endocrinologist
pituitary disorder,"['Consult an endocrinologist for evaluation', 'Consider hormone replacement therapy and monitoring', 'Engage in regular follow-up care']",Endocrinologist
pityriasis rosea,"['Consult a healthcare provider for evaluation', 'Consider topical treatments and monitoring', 'Engage in follow-up care if symptoms worsen']",Dermatologist
placenta previa,"['Consult a healthcare provider for evaluation', 'Consider monitoring and potential hospitalization', 'Engage in planning for delivery']",Obstetrician
placental abruption,"['Seek immediate medical attention', 'Consider monitoring and potential delivery', 'Engage in follow-up care']",Obstetrician
plantar fasciitis,"['Consult a healthcare provider for evaluation', 'Consider physical therapy and pain management', 'Engage in regular follow-up care']",Podiatrist
pleural effusion,"['Consult a healthcare provider for evaluation', 'Consider imaging studies and possible drainage', 'Engage in monitoring for recurrence']",Pulmonologist
pneumoconiosis,"['Consult a healthcare provider for evaluation', 'Consider monitoring and treatment for symptoms', 'Engage in preventive measures']",Pulmonologist
pneumonia,"['Consult a healthcare provider for evaluation', 'Consider antibiotics and supportive care', 'Engage in follow-up care']",Pulmonologist
pneumothorax,"['Seek immediate medical attention', 'Consider imaging studies and possible chest tube placement', 'Engage in monitoring for recovery']",Pulmonologist
poisoning due to analgesics,"['Seek immediate medical attention', 'Consider supportive care and possible antidotes', 'Engage in follow-up care']",Toxicologist
poisoning due to anticonvulsants,"['Seek immediate medical attention', 'Consider supportive care and possible antidotes', 'Engage in follow-up care']",Toxicologist
poisoning due to antidepressants,"['Seek immediate medical attention', 'Consider supportive care and possible antidotes', 'Engage in follow-up care']",Toxicologist
poisoning due to antihypertensives,"['Seek immediate medical attention', 'Consider supportive care and possible antidotes', 'Engage in follow-up care']",Toxicologist
poisoning due to antimicrobial drugs,"['Seek immediate medical attention', 'Consider supportive care and possible antidotes', 'Engage in follow-up care']",Toxicologist
poisoning due to antipsychotics,"['Seek immediate medical attention', 'Consider supportive care and possible antidotes', 'Engage in follow-up care']",Toxicologist
poisoning due to ethylene glycol,"['Seek immediate medical attention', 'Consider supportive care and possible antidotes', 'Engage in follow-up care']",Toxicologist
poisoning due to gas,"['Seek immediate medical attention', 'Consider supportive care and oxygen therapy', 'Engage in follow-up care']",Toxicologist
poisoning due to opioids,"['Seek immediate medical attention', 'Consider naloxone administration and supportive care', 'Engage in follow-up care']",Toxicologist
poisoning due to sedatives,"['Seek immediate medical attention', 'Consider supportive care and possible antidotes', 'Engage in follow-up care']",Toxicologist
polycystic kidney disease,"['Consult a nephrologist for evaluation', 'Consider monitoring and possible treatment options', 'Engage in regular follow-up care']",Nephrologist
polycystic ovarian syndrome (pcos),"['Consult a healthcare provider for evaluation', 'Consider lifestyle modifications and treatments', 'Engage in follow-up care']",Gynecologist
polycythemia vera,"['Consult a hematologist for evaluation', 'Consider phlebotomy and monitoring', 'Engage in regular follow-up care']",Hematologist
polymyalgia rheumatica,"['Consult a rheumatologist for evaluation', 'Consider corticosteroids and monitoring', 'Engage in follow-up care']",Rheumatologist
post-traumatic stress disorder (ptsd),"['Consult a mental health professional for evaluation', 'Consider therapy and support groups', 'Engage in regular follow-up care']",Psychiatrist
postoperative infection,"['Consult a healthcare provider for evaluation', 'Consider antibiotics and wound care', 'Engage in follow-up care']",Infectious Disease Specialist
postpartum depression,"['Consult a mental health professional for evaluation', 'Consider therapy and support groups', 'Engage in follow-up care']",Psychiatrist
preeclampsia,"['Seek immediate medical attention', 'Consider monitoring and possible delivery', 'Engage in follow-up care']",Obstetrician
pregnancy,"['Consult an obstetrician for prenatal care', 'Consider monitoring for complications', 'Engage in regular follow-up care']",Obstetrician
premature atrial contractions (pacs),"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible lifestyle changes', 'Engage in follow-up care']",Cardiologist
premature ovarian failure,"['Consult a healthcare provider for evaluation', 'Consider hormone replacement therapy and monitoring', 'Engage in regular follow-up care']",Gynecologist
premature rupture of amniotic membrane,"['Seek immediate medical attention', 'Consider monitoring and potential delivery', 'Engage in follow-up care']",Obstetrician
premature ventricular contractions (pvcs),"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible lifestyle changes', 'Engage in follow-up care']",Cardiologist
premenstrual tension syndrome,"['Consult a healthcare provider for evaluation', 'Consider lifestyle modifications and medications', 'Engage in follow-up care']",Gynecologist
presbyacusis,"['Consult an audiologist for evaluation', 'Consider hearing aids and monitoring', 'Engage in regular follow-up care']",Otolaryngologist
presbyopia,"['Consult an eye care provider for evaluation', 'Consider corrective lenses and monitoring', 'Engage in regular eye check-ups']",Ophthalmologist
priapism,"['Seek immediate medical attention', 'Consider treatment options including medications or surgery', 'Engage in monitoring for complications']",Urologist
primary immunodeficiency,"['Consult an immunologist for evaluation', 'Consider monitoring and possible treatment options', 'Engage in regular follow-up care']",Immunologist
primary insomnia,"['Consult a healthcare provider for evaluation', 'Consider cognitive behavioral therapy and sleep hygiene', 'Engage in follow-up care']",Psychiatrist
primary kidney disease,"['Consult a nephrologist for evaluation', 'Consider monitoring and treatment options', 'Engage in regular follow-up care']",Nephrologist
primary thrombocythemia,"['Consult a hematologist for evaluation', 'Consider monitoring and treatment options', 'Engage in regular follow-up care']",Hematologist
problem during pregnancy,"['Consult an obstetrician for evaluation', 'Consider monitoring and treatment options based on the issue', 'Engage in regular follow-up care']",Obstetrician
prostate cancer,"['Consult a urologist for evaluation', 'Consider imaging studies and treatment options', 'Engage in regular follow-up care']",Oncologist
prostatitis,"['Consult a healthcare provider for evaluation', 'Consider antibiotics and pain management', 'Engage in follow-up care']",Urologist
protein deficiency,"['Consult a healthcare provider for evaluation', 'Consider dietary changes and supplementation', 'Engage in regular follow-up care']",Nutritionist
pseudohypoparathyroidism,"['Consult an endocrinologist for evaluation', 'Consider hormone replacement therapy and monitoring', 'Engage in regular follow-up care']",Endocrinologist
pseudotumor cerebri,"['Consult a healthcare provider for evaluation', 'Consider medications and monitoring', 'Engage in follow-up care']",Neurologist
psoriasis,"['Consult a dermatologist for evaluation', 'Consider topical treatments and lifestyle changes', 'Engage in regular follow-up care']",Dermatologist
psychosexual disorder,"['Consult a mental health professional for evaluation', 'Consider therapy and support groups', 'Engage in follow-up care']",Psychiatrist
psychotic disorder,"['Consult a mental health professional for evaluation', 'Consider medication and therapy', 'Engage in regular follow-up care']",Psychiatrist
pterygium,"['Consult an ophthalmologist for evaluation', 'Consider surgical removal if necessary', 'Engage in regular eye check-ups']",Ophthalmologist
pulmonary congestion,"['Consult a healthcare provider for evaluation', 'Consider medications and lifestyle modifications', 'Engage in follow-up care']",Pulmonologist
pulmonary embolism,"['Seek immediate medical attention', 'Consider anticoagulant therapy and monitoring', 'Engage in follow-up care']",Pulmonologist
pulmonary eosinophilia,"['Consult a healthcare provider for evaluation', 'Consider treatment based on the underlying cause', 'Engage in follow-up care']",Pulmonologist
pulmonary fibrosis,"['Consult a healthcare provider for evaluation', 'Consider medications and oxygen therapy', 'Engage in regular follow-up care']",Pulmonologist
pulmonary hypertension,"['Consult a healthcare provider for evaluation', 'Consider medications and lifestyle modifications', 'Engage in regular follow-up care']",Cardiologist
pulmonic valve disease,"['Consult a cardiologist for evaluation', 'Consider monitoring and treatment options', 'Engage in regular follow-up care']",Cardiologist
pyelonephritis,"['Consult a healthcare provider for evaluation', 'Consider antibiotics and hydration', 'Engage in follow-up care']",Nephrologist
pyloric stenosis,"['Consult a healthcare provider for evaluation', 'Consider surgical intervention if necessary', 'Engage in follow-up care']",Pediatric Surgeon
pyogenic skin infection,"['Consult a healthcare provider for evaluation', 'Consider antibiotics and wound care', 'Engage in follow-up care']",Dermatologist
raynaud disease,"['Consult a healthcare provider for evaluation', 'Consider lifestyle modifications and medications', 'Engage in follow-up care']",Rheumatologist
reactive arthritis,"['Consult a rheumatologist for evaluation', 'Consider NSAIDs and monitoring', 'Engage in follow-up care']",Rheumatologist
rectal disorder,"['Consult a healthcare provider for evaluation', 'Consider dietary modifications and monitoring', 'Engage in follow-up care']",Colorectal Surgeon
restless leg syndrome,"['Consult a healthcare provider for evaluation', 'Consider lifestyle changes and medications', 'Engage in follow-up care']",Neurologist
retinal detachment,"['Seek immediate medical attention', 'Consider surgical intervention if necessary', 'Engage in follow-up care']",Ophthalmologist
retinopathy due to high blood pressure,"['Consult an ophthalmologist for evaluation', 'Consider managing blood pressure and monitoring', 'Engage in regular eye check-ups']",Ophthalmologist
rhabdomyolysis,"['Seek immediate medical attention', 'Consider hydration and monitoring', 'Engage in follow-up care']",Nephrologist
rheumatic fever,"['Consult a healthcare provider for evaluation', 'Consider antibiotics and monitoring for complications', 'Engage in follow-up care']",Cardiologist
rheumatoid arthritis,"['Consult a rheumatologist for evaluation', 'Consider medications and physical therapy', 'Engage in regular follow-up care']",Rheumatologist
rocky mountain spotted fever,"['Consult a healthcare provider for evaluation', 'Consider antibiotics and monitoring', 'Engage in follow-up care']",Infectious Disease Specialist
rosacea,"['Consult a dermatologist for evaluation', 'Consider topical treatments and lifestyle changes', 'Engage in follow-up care']",Dermatologist
rotator cuff injury,"['Consult a healthcare provider for evaluation', 'Consider physical therapy and pain management', 'Engage in follow-up care']",Orthopedic Specialist
salivary gland disorder,"['Consult a healthcare provider for evaluation', 'Consider imaging studies and treatment options', 'Engage in follow-up care']",Otolaryngologist
sarcoidosis,"['Consult a healthcare provider for evaluation', 'Consider monitoring and treatment based on symptoms', 'Engage in regular follow-up care']",Pulmonologist
scabies,"['Consult a healthcare provider for evaluation', 'Consider topical treatments and hygiene measures', 'Engage in follow-up care']",Dermatologist
scar,"['Consult a healthcare provider for evaluation', 'Consider treatments for scar management', 'Engage in monitoring for changes']",Dermatologist
scarlet fever,"['Consult a healthcare provider for evaluation', 'Consider antibiotics and monitoring', 'Engage in follow-up care']",Infectious Disease Specialist
schizophrenia,"['Consult a mental health professional for evaluation', 'Consider medication and therapy', 'Engage in regular follow-up care']",Psychiatrist
sciatica,"['Consult a healthcare provider for evaluation', 'Consider physical therapy and pain management', 'Engage in follow-up care']",Orthopedic Specialist
scleritis,"['Consult an ophthalmologist for evaluation', 'Consider medications and monitoring', 'Engage in follow-up care']",Ophthalmologist
scleroderma,"['Consult a rheumatologist for evaluation', 'Consider medications and monitoring', 'Engage in regular follow-up care']",Rheumatologist
scoliosis,"['Consult a healthcare provider for evaluation', 'Consider monitoring and treatment options', 'Engage in regular follow-up care']",Orthopedic Specialist
scurvy,"['Consult a healthcare provider for evaluation', 'Consider vitamin C supplementation and dietary changes', 'Engage in follow-up care']",Nutritionist
seasonal allergies (hay fever),"['Consult a healthcare provider for evaluation', 'Consider antihistamines and monitoring', 'Engage in follow-up care']",Allergist
sebaceous cyst,"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible surgical removal', 'Engage in follow-up care']",Dermatologist
seborrheic dermatitis,"['Consult a dermatologist for evaluation', 'Consider topical treatments and lifestyle changes', 'Engage in follow-up care']",Dermatologist
seborrheic keratosis,"['Consult a dermatologist for evaluation', 'Consider monitoring and possible removal', 'Engage in follow-up care']",Dermatologist
sensorineural hearing loss,"['Consult an audiologist for evaluation', 'Consider hearing aids and monitoring', 'Engage in regular follow-up care']",Audiologist
sepsis,"['Seek immediate medical attention', 'Consider antibiotics and supportive care', 'Engage in follow-up care']",Infectious Disease Specialist
septic arthritis,"['Consult a healthcare provider for evaluation', 'Consider antibiotics and possible joint drainage', 'Engage in follow-up care']",Rheumatologist
shingles (herpes zoster),"['Consult a healthcare provider for evaluation', 'Consider antiviral medications and pain management', 'Engage in follow-up care']",Dermatologist
sialoadenitis,"['Consult a healthcare provider for evaluation', 'Consider hydration and possible antibiotics', 'Engage in follow-up care']",Otolaryngologist
sick sinus syndrome,"['Consult a cardiologist for evaluation', 'Consider monitoring and possible pacemaker placement', 'Engage in regular follow-up care']",Cardiologist
