diseases,grouped symptoms,disease probability
idiopathic infrequent menstruation,"{'retention of urine': 0.74, 'sharp abdominal pain': 0.96, 'nausea': 0.88, 'unpredictable menstruation': 0.46}",0.001
idiopathic irregular menstrual cycle,"{'sharp abdominal pain': 0.4966960352422907, 'lower abdominal pain': 0.5, 'intermenstrual bleeding': 0.4933920704845815, 'pelvic pain': 0.5066079295154186, 'cramps and spasms': 0.6729074889867841, 'long menstrual periods': 0.513215859030837, 'heavy menstrual flow': 0.5154185022026432, 'unpredictable menstruation': 0.5154185022026432, 'painful menstruation': 0.5066079295154186, 'infertility': 0.4900881057268722, 'frequent menstruation': 0.5066079295154186}",0.001
idiopathic nonmenstrual bleeding,"{'sharp abdominal pain': 0.8775510204081632, 'painful urination': 0.9183673469387756, 'vaginal discharge': 0.7448979591836735, 'intermenstrual bleeding': 0.6224489795918368, 'long menstrual periods': 0.673469387755102, 'unpredictable menstruation': 0.5612244897959183}",0.001
idiopathic painful menstruation,"{'sharp abdominal pain': 0.4878587196467991, 'vaginal itching': 0.5132450331125827, 'lower abdominal pain': 0.4911699779249448, 'vaginal discharge': 0.6622516556291391, 'pelvic pain': 0.5320088300220751, 'cramps and spasms': 0.5264900662251656, 'blood clots during menstrual periods': 0.4966887417218543, 'long menstrual periods': 0.5099337748344371, 'heavy menstrual flow': 0.5176600441501104, 'unpredictable menstruation': 0.4977924944812362, 'painful menstruation': 0.4988962472406181}",0.001
ileus,"{'sharp abdominal pain': 0.5011135857461024, 'vomiting': 0.5144766146993318, 'headache': 0.6837416481069042, 'nausea': 0.4966592427616926, 'diarrhea': 0.534521158129176, 'lower abdominal pain': 0.7750556792873051, 'pain of the anus': 0.4988864142538975, 'burning abdominal pain': 0.4988864142538975, 'constipation': 0.4966592427616926}",0.01
impetigo,"{'cough': 0.4919472913616398, 'nasal congestion': 0.4948755490483162, 'skin swelling': 0.664714494875549, 'abnormal appearing skin': 0.4963396778916544, 'skin lesion': 0.5109809663250366, 'mouth ulcer': 0.6793557833089312, 'fever': 0.4904831625183016, 'itching of skin': 0.4787701317715959, 'skin rash': 0.4963396778916544, 'sore in nose': 0.5007320644216691}",0.02
impulse control disorder,"{'anxiety and nervousness': 0.7134328358208956, 'depression': 0.5223880597014925, 'depressive or psychotic symptoms': 0.5164179104477612, 'insomnia': 0.5134328358208955, 'excessive appetite': 0.7313432835820896, 'excessive anger': 0.5223880597014925, 'delusions or hallucinations': 0.7134328358208956, 'temper problems': 0.5611940298507463}",0.002
indigestion,"{'sharp chest pain': 0.4988814317673378, 'sharp abdominal pain': 0.5190156599552572, 'vomiting': 0.5033557046979866, 'nausea': 0.5011185682326622, 'diarrhea': 0.5190156599552572, 'burning abdominal pain': 0.4876957494407158, 'heartburn': 0.6935123042505593, 'decreased appetite': 0.4966442953020134, 'stomach bloating': 0.7427293064876958}",0.05
induced abortion,"{'sharp abdominal pain': 0.5505226480836237, 'lower abdominal pain': 0.4912891986062718, 'vaginal discharge': 0.4982578397212543, 'intermenstrual bleeding': 0.7874564459930313, 'pain during pregnancy': 0.5505226480836237, 'spotting or bleeding during pregnancy': 0.5296167247386759, 'cramps and spasms': 0.4982578397212543, 'groin pain': 0.7735191637630662}",0.001
infection of open wound,"{'insomnia': 0.8857142857142857, 'leg pain': 0.8, 'hand or finger swelling': 1.0, 'abnormal appearing skin': 0.4571428571428571}",0.01
infectious gastroenteritis,"{'blood in stool': 0.4785478547854785, 'sharp abdominal pain': 0.5, 'vomiting': 0.5041254125412541, 'headache': 0.509075907590759, 'nausea': 0.523102310231023, 'diarrhea': 0.5132013201320133, 'burning abdominal pain': 0.5008250825082509, 'decreased appetite': 0.5206270627062707, 'fever': 0.5008250825082509, 'chills': 0.504950495049505, 'fluid retention': 0.4975247524752475, 'flu-like syndrome': 0.4834983498349835}",0.02
ingrown toe nail,"{'abnormal appearing skin': 0.4850993377483443, 'skin growth': 0.4834437086092715, 'neck swelling': 0.7566225165562914, 'foot or toe pain': 0.4817880794701987, 'foot or toe swelling': 0.5115894039735099, 'skin on leg or foot looks infected': 0.5049668874172185, 'swollen eye': 0.5115894039735099, 'irregular appearing nails': 0.5231788079470199, 'skin dryness, peeling, scaliness, or roughness': 0.4867549668874172, 'skin on arm or hand looks infected': 0.4801324503311258}",0.01
inguinal hernia,"{'groin mass': 0.5522388059701493, 'symptoms of the scrotum and testes': 0.6492537313432836, 'swelling of scrotum': 0.5174129353233831, 'pain in testicles': 0.5223880597014925, 'mass in scrotum': 0.5149253731343284, 'sharp abdominal pain': 0.5348258706467661, 'lower abdominal pain': 0.5796019900497512, 'ache all over': 0.5472636815920398, 'swollen abdomen': 0.5422885572139303, 'groin pain': 0.5621890547263682}",0.02
injury of the ankle,"{'leg pain': 0.5054945054945055, 'wrist swelling': 0.7967032967032966, 'foot or toe pain': 0.4615384615384615, 'ankle pain': 0.554945054945055, 'foot or toe swelling': 0.5384615384615384, 'joint pain': 0.5439560439560439, 'ankle swelling': 0.521978021978022, 'foot or toe weakness': 0.5439560439560439}",0.01
injury to internal organ,"{'sharp chest pain': 0.7938931297709924, 'retention of urine': 0.7557251908396947, 'sharp abdominal pain': 0.5648854961832062, 'frequent urination': 0.8473282442748091, 'back pain': 0.6793893129770993, 'side pain': 0.6183206106870229}",0.001
injury to the abdomen,"{'sharp chest pain': 0.5625, 'leg pain': 0.953125, 'sharp abdominal pain': 0.59375, 'blood in urine': 0.734375, 'back pain': 0.890625}",0.002
injury to the arm,"{'hand or finger pain': 0.4863523573200992, 'wrist pain': 0.4979321753515301, 'hand or finger swelling': 0.4946236559139785, 'arm pain': 0.5012406947890818, 'wrist swelling': 0.5235732009925558, 'arm stiffness or tightness': 0.5045492142266336, 'arm swelling': 0.4971050454921422, 'bones are painful': 0.4987593052109181, 'elbow pain': 0.5020678246484698, 'loss of sensation': 0.5078577336641853, 'joint pain': 0.5020678246484698, 'elbow swelling': 0.5053763440860215}",0.002
injury to the face,"{'diminished hearing': 0.7824175824175824, 'headache': 0.4769230769230769, 'facial pain': 0.4505494505494505, 'neck pain': 0.5516483516483517, 'ear pain': 0.5076923076923077, 'neck stiffness or tightness': 0.6923076923076923, 'nosebleed': 0.5362637362637362, 'bleeding from ear': 0.4901098901098901, 'mouth pain': 0.5142857142857142}",0.002
injury to the finger,"{'swelling of scrotum': 0.8571428571428571, 'hand or finger pain': 0.5714285714285714, 'hand or finger swelling': 0.5714285714285714, 'hand or finger stiffness or tightness': 0.2857142857142857}",0.002
injury to the hand,"{'hand or finger pain': 0.5793650793650794, 'wrist pain': 0.5476190476190477, 'hand or finger swelling': 0.5873015873015873, 'wrist swelling': 0.8888888888888888, 'hand or finger stiffness or tightness': 0.5158730158730159, 'skin growth': 0.4761904761904761, 'joint pain': 0.5714285714285714}",0.002
injury to the hip,"{'leg pain': 0.5, 'hip pain': 0.4375, 'hand or finger swelling': 0.9375, 'neck pain': 0.75}",0.002
injury to the knee,"{'leg pain': 0.6981132075471698, 'knee pain': 0.5660377358490566, 'knee weakness': 0.6792452830188679, 'problems with movement': 0.3584905660377358, 'foot or toe swelling': 0.7169811320754716}",0.002
injury to the leg,"{'leg pain': 0.4983416252072968, 'knee pain': 0.511608623548922, 'foot or toe pain': 0.5074626865671642, 'ankle pain': 0.5049751243781094, 'knee swelling': 0.5157545605306799, 'problems with movement': 0.5165837479270315, 'knee stiffness or tightness': 0.4917081260364842, 'leg swelling': 0.5232172470978441, 'foot or toe swelling': 0.5058043117744611, 'infant feeding problem': 0.4925373134328358, 'irregular appearing nails': 0.4983416252072968, 'ankle swelling': 0.5099502487562189}",0.002
injury to the shoulder,"{'arm pain': 0.4686274509803921, 'arm stiffness or tightness': 0.5254901960784314, 'back pain': 0.4843137254901961, 'neck pain': 0.4803921568627451, 'bones are painful': 0.6784313725490196, 'elbow pain': 0.5137254901960784, 'shoulder pain': 0.5098039215686274, 'shoulder stiffness or tightness': 0.6823529411764706, 'muscle cramps, contractures, or spasms': 0.6725490196078432}",0.002
injury to the spinal cord,"{'retention of urine': 0.9655172413793104, 'headache': 0.7931034482758621, 'back pain': 0.6896551724137931, 'neck pain': 0.5862068965517241}",0.001
injury to the trunk,"{'sharp chest pain': 0.4861878453038674, 'symptoms of the scrotum and testes': 0.6839779005524862, 'headache': 0.4906077348066298, 'wrist pain': 0.4939226519337016, 'back pain': 0.5160220994475138, 'neck pain': 0.538121546961326, 'low back pain': 0.507182320441989, 'bones are painful': 0.4839779005524862, 'shoulder pain': 0.5160220994475138, 'lower body pain': 0.5082872928176796, 'rib pain': 0.5093922651933702}",0.001
insect bite,"{'skin swelling': 0.4887892376681614, 'hand or finger swelling': 0.6771300448430493, 'lip swelling': 0.4813153961136024, 'abnormal appearing skin': 0.515695067264574, 'skin lesion': 0.5067264573991032, 'peripheral edema': 0.5246636771300448, 'leg swelling': 0.6875934230194319, 'fluid retention': 0.4887892376681614, 'itching of skin': 0.5127055306427504, 'skin rash': 0.5366218236173393}",0.005
insulin overdose,"{'depressive or psychotic symptoms': 1.0, 'emotional symptoms': 1.0}",0.0005
interstitial lung disease,"{'shortness of breath': 0.6438356164383562, 'sore throat': 0.6594911937377691, 'cough': 0.5342465753424658, 'nasal congestion': 0.5166340508806262, 'headache': 0.5068493150684932, 'wheezing': 0.639921722113503, 'fever': 0.5166340508806262, 'sleepiness': 0.4951076320939334, 'abnormal breathing sounds': 0.4774951076320939}",0.005
intertrigo (skin condition),"{'skin swelling': 0.5619047619047619, 'abnormal appearing skin': 0.5523809523809524, 'skin lesion': 0.7904761904761904, 'acne or pimples': 0.8476190476190476, 'skin dryness, peeling, scaliness, or roughness': 0.5047619047619047, 'skin rash': 0.5904761904761905}",0.01
intestinal cancer,"{'throat feels tight': 0.9387755102040816, 'sharp abdominal pain': 0.7142857142857143, 'diarrhea': 0.5102040816326531, 'neck mass': 0.7346938775510204, 'foot or toe swelling': 0.7551020408163265}",0.002
intestinal disease,"{'sharp chest pain': 0.4960835509138381, 'fainting': 0.7049608355091384, 'sharp abdominal pain': 0.4856396866840731, 'vomiting': 0.5169712793733682, 'nausea': 0.6631853785900783, 'diarrhea': 0.4882506527415143, 'regurgitation': 0.6736292428198434, 'burning abdominal pain': 0.6840731070496083, 'regurgitation.1': 0.6736292428198434}",0.01
intestinal malabsorption,"{'cough': 0.84472049689441, 'nasal congestion': 0.5341614906832298, 'flatulence': 0.8385093167701864, 'sharp abdominal pain': 0.5031055900621118, 'vomiting': 0.577639751552795, 'diarrhea': 0.5652173913043478, 'allergic reaction': 0.5093167701863354}",0.02
intestinal obstruction,"{'retention of urine': 0.5123595505617977, 'sharp abdominal pain': 0.5213483146067416, 'vomiting': 0.5056179775280899, 'nausea': 0.6584269662921348, 'vaginal itching': 0.7707865168539326, 'pain of the anus': 0.503370786516854, 'burning abdominal pain': 0.4966292134831461, 'stomach bloating': 0.5303370786516854, 'constipation': 0.503370786516854}",0.01
intracerebral hemorrhage,"{'depressive or psychotic symptoms': 0.4842454394693201, 'dizziness': 0.4892205638474295, 'vomiting': 0.4676616915422885, 'headache': 0.4991708126036484, 'nausea': 0.5041459369817579, 'diminished vision': 0.7761194029850746, 'weakness': 0.4958540630182421, 'blindness': 0.4892205638474295, 'focal weakness': 0.5223880597014925, 'seizures': 0.4975124378109453}",0.002
intracranial abscess,"{'depressive or psychotic symptoms': 0.9166666666666666, 'headache': 1.0, 'seizures': 0.6666666666666666}",0.001
intracranial hemorrhage,"{'depressive or psychotic symptoms': 0.7857142857142857, 'dizziness': 0.5217391304347826, 'abnormal involuntary movements': 0.7111801242236024, 'difficulty speaking': 0.5279503105590062, 'vomiting': 0.7080745341614907, 'headache': 0.5714285714285714, 'diminished vision': 0.4751552795031056, 'seizures': 0.5093167701863354}",0.002
intussusception,"{'blood in stool': 1.0, 'emotional symptoms': 0.75, 'sharp abdominal pain': 0.75}",0.001
iridocyclitis,"{'headache': 0.6935483870967742, 'diminished vision': 0.4919354838709677, 'symptoms of eye': 0.4899193548387097, 'pain in eye': 0.5544354838709677, 'foreign body sensation in eye': 0.6774193548387096, 'eye redness': 0.532258064516129, 'lacrimation': 0.6673387096774194, 'eye burns or stings': 0.5020161290322581, 'cloudy eye': 0.4798387096774194}",0.001
iron deficiency anemia,"{'dizziness': 0.493411420204978, 'blood in stool': 0.4963396778916544, 'intermenstrual bleeding': 0.6617862371888726, 'regurgitation': 0.4948755490483162, 'weight gain': 0.4948755490483162, 'heartburn': 0.6617862371888726, 'weakness': 0.5241581259150805, 'fatigue': 0.5051244509516838, 'regurgitation.1': 0.4948755490483162, 'rectal bleeding': 0.5212298682284041, 'heavy menstrual flow': 0.5241581259150805}",0.05
irritable bowel syndrome,"{'anxiety and nervousness': 0.4666666666666667, 'insomnia': 0.6705882352941176, 'flatulence': 0.6823529411764706, 'sharp abdominal pain': 0.503921568627451, 'nausea': 0.6627450980392157, 'diarrhea': 0.4823529411764706, 'lower abdominal pain': 0.5117647058823529, 'burning abdominal pain': 0.4823529411764706, 'upper abdominal pain': 0.503921568627451}",0.03
ischemia of the bowel,"{'retention of urine': 0.6713780918727915, 'blood in stool': 0.6925795053003534, 'sharp abdominal pain': 0.519434628975265, 'vomiting': 0.6395759717314488, 'nausea': 0.6996466431095406, 'burning abdominal pain': 0.6713780918727915, 'constipation': 0.4911660777385159}",0.005
ischemic heart disease,"{'shortness of breath': 0.4909706546275395, 'sharp chest pain': 0.5383747178329571, 'dizziness': 0.5112866817155757, 'chest tightness': 0.5248306997742663, 'palpitations': 0.5146726862302483, 'throat feels tight': 0.5022573363431151, 'peripheral edema': 0.5338600451467269, 'muscle pain': 0.6376975169300225, 'difficulty breathing': 0.5146726862302483, 'fatigue': 0.5203160270880361, 'lymphedema': 0.5022573363431151}",0.15
itching of unknown cause,"{'vaginal itching': 0.6607142857142857, 'abnormal appearing skin': 0.503968253968254, 'problems during pregnancy': 0.6825396825396826, 'allergic reaction': 0.5416666666666666, 'fluid retention': 0.6686507936507936, 'itching of skin': 0.503968253968254, 'skin dryness, peeling, scaliness, or roughness': 0.4781746031746032, 'itchy scalp': 0.5218253968253969, 'skin rash': 0.4841269841269841}",0.05
jaw disorder,"{'difficulty in swallowing': 0.7559523809523809, 'headache': 0.5357142857142857, 'toothache': 0.5119047619047619, 'facial pain': 0.4910714285714285, 'peripheral edema': 0.5119047619047619, 'neck mass': 0.6785714285714286, 'jaw swelling': 0.6636904761904762, 'mouth pain': 0.5}",0.02
joint effusion,"{'wrist pain': 0.7594654788418709, 'wrist swelling': 0.5077951002227171, 'knee pain': 0.5077951002227171, 'ankle pain': 0.534521158129176, 'elbow pain': 0.4810690423162583, 'knee swelling': 0.5367483296213809, 'problems with movement': 0.5100222717149221, 'knee stiffness or tightness': 0.6993318485523385, 'ankle swelling': 0.5412026726057907}",0.03
juvenile rheumatoid arthritis,"{'hand or finger pain': 0.9090909090909092, 'wrist swelling': 0.9393939393939394, 'back pain': 0.6060606060606061, 'knee pain': 0.6060606060606061, 'joint pain': 0.6666666666666666}",0.01
kaposi sarcoma,"{'depression': 1.0, 'elbow weakness': 1.0}",0.001
kidney cancer,"{'retention of urine': 0.5125, 'groin mass': 0.7875, 'involuntary urination': 0.7875, 'blood in urine': 0.6125, 'kidney mass': 0.5375}",0.02
kidney disease due to longstanding hypertension,"{'shortness of breath': 0.6470588235294118, 'difficulty speaking': 0.4117647058823529, 'feeling cold': 0.9411764705882352, 'symptoms of the kidneys': 0.6470588235294118}",0.03
kidney failure,"{'shortness of breath': 0.5035460992907801, 'sharp chest pain': 0.6879432624113475, 'vomiting': 0.5070921985815603, 'nausea': 0.5354609929078015, 'arm swelling': 0.5141843971631206, 'leg swelling': 0.4893617021276595, 'swollen abdomen': 0.7659574468085106, 'symptoms of the kidneys': 0.5}",0.02
kidney stone,"{'retention of urine': 0.4800884955752212, 'suprapubic pain': 0.5011061946902655, 'sharp abdominal pain': 0.493362831858407, 'vomiting': 0.7057522123893806, 'painful urination': 0.5099557522123894, 'frequent urination': 0.5132743362831859, 'lower abdominal pain': 0.4900442477876106, 'blood in urine': 0.4778761061946903, 'back pain': 0.5265486725663717, 'low back pain': 0.5088495575221239, 'side pain': 0.5243362831858407}",0.1
knee ligament or meniscus tear,"{'knee pain': 0.5094339622641509, 'knee weakness': 0.5566037735849056, 'knee swelling': 0.5283018867924528, 'knee lump or mass': 0.8679245283018868, 'knee stiffness or tightness': 0.5660377358490566, 'leg stiffness or tightness': 0.4622641509433962, 'leg weakness': 0.5660377358490566}",0.03
labyrinthitis,"{'dizziness': 0.4984709480122324, 'diminished hearing': 0.6681957186544343, 'vomiting': 0.5351681957186545, 'headache': 0.5168195718654435, 'nausea': 0.5045871559633027, 'ear pain': 0.6987767584097859, 'plugged feeling in ear': 0.4908256880733945, 'spots or clouds in vision': 0.4969418960244648, 'loss of sensation': 0.5275229357798165, 'sweating': 0.5168195718654435}",0.005
lactose intolerance,"{'shortness of breath': 0.5547445255474452, 'nasal congestion': 0.8540145985401459, 'flatulence': 0.7445255474452555, 'diarrhea': 0.5109489051094891, 'impotence': 0.7372262773722628, 'burning abdominal pain': 0.5693430656934306}",0.1
laryngitis,"{'hoarse voice': 0.4808259587020649, 'sore throat': 0.5162241887905604, 'difficulty speaking': 0.6607669616519174, 'cough': 0.5117994100294986, 'nasal congestion': 0.5132743362831859, 'throat feels tight': 0.6917404129793511, 'difficulty in swallowing': 0.495575221238938, 'ear pain': 0.5132743362831859, 'fever': 0.5147492625368731, 'coryza': 0.5029498525073747}",0.05
lateral epicondylitis (tennis elbow),"{'hand or finger pain': 0.6706231454005934, 'wrist pain': 0.5192878338278932, 'arm pain': 0.543026706231454, 'hand or finger stiffness or tightness': 0.685459940652819, 'elbow pain': 0.5252225519287834, 'loss of sensation': 0.516320474777448, 'shoulder pain': 0.4658753709198813, 'joint pain': 0.7418397626112759}",0.02
leukemia,"{'fever': 0.4, 'muscle stiffness or tightness': 1.0, 'fatigue': 0.5, 'mouth pain': 0.6}",0.003
lewy body dementia,"{'depressive or psychotic symptoms': 0.7341772151898734, 'abnormal involuntary movements': 0.6329113924050633, 'hostile behavior': 0.8354430379746836, 'disturbance of memory': 0.5316455696202531, 'delusions or hallucinations': 0.4810126582278481}",0.001
lice,"{'cough': 0.5846153846153846, 'nasal congestion': 0.9384615384615383, 'itching of skin': 0.5846153846153846, 'itchy scalp': 0.8153846153846154, 'leg lump or mass': 0.8461538461538461}",0.05
lichen planus,"{'difficulty speaking': 1.0, 'abnormal appearing skin': 1.0, 'skin growth': 1.0}",0.002
lichen simplex,"{'difficulty speaking': 0.8135593220338984, 'vaginal itching': 0.9322033898305084, 'skin lesion': 0.559322033898305, 'itching of skin': 0.6101694915254238, 'skin rash': 0.5423728813559322}",0.002
lipoma,"{'skin swelling': 0.4678362573099415, 'groin mass': 0.6564327485380117, 'abnormal appearing skin': 0.5160818713450293, 'skin lesion': 0.5043859649122807, 'skin growth': 0.5029239766081871, 'neck mass': 0.5102339181286549, 'bones are painful': 0.6827485380116959, 'back mass or lump': 0.4941520467836257, 'shoulder lump or mass': 0.5116959064327485, 'arm lump or mass': 0.5219298245614035}",0.01
liver cancer,"{'groin mass': 0.9387755102040816, 'sharp abdominal pain': 0.5714285714285714, 'decreased appetite': 0.6530612244897959, 'upper abdominal pain': 0.4897959183673469, 'stomach bloating': 0.5714285714285714}",0.005
liver disease,"{'shortness of breath': 0.4772539288668321, 'blood in stool': 0.511166253101737, 'jaundice': 0.5095119933829612, 'sharp abdominal pain': 0.5070306038047974, 'nausea': 0.5210918114143921, 'diarrhea': 0.4971050454921422, 'peripheral edema': 0.5103391232423491, 'heartburn': 0.4954507857733664, 'weakness': 0.4971050454921422, 'side pain': 0.4987593052109181, 'upper abdominal pain': 0.5244003308519437, 'unusual color or odor to urine': 0.5045492142266336}",0.02
lumbago,"{'leg pain': 0.5576923076923077, 'hip pain': 0.7628205128205128, 'back pain': 0.5961538461538461, 'low back pain': 0.6025641025641025, 'muscle pain': 0.6794871794871795, 'side pain': 0.7435897435897436, 'low back cramps or spasms': 0.6602564102564102}",0.05
lung cancer,"{'shortness of breath': 0.5294117647058824, 'cough': 0.5686274509803921, 'smoking problems': 0.5098039215686274, 'decreased appetite': 0.5098039215686274, 'fatigue': 0.5882352941176471, 'hemoptysis': 0.6666666666666666, 'leg weakness': 0.5098039215686274}",0.02
lung contusion,"{'shortness of breath': 1.0, 'sharp chest pain': 0.8, 'back pain': 0.6, 'ache all over': 0.7333333333333333}",0.01
lyme disease,"{'depressive or psychotic symptoms': 0.6872037914691943, 'hip pain': 0.8341232227488151, 'headache': 0.6777251184834123, 'abnormal appearing skin': 0.5213270142180095, 'symptoms of the face': 0.5023696682464455, 'fever': 0.5497630331753555, 'fatigue': 0.5071090047393365}",0.01
lymphadenitis,"{'sore throat': 0.5033112582781457, 'cough': 0.7660044150110376, 'skin swelling': 0.4878587196467991, 'sharp abdominal pain': 0.6512141280353201, 'neck pain': 0.5077262693156733, 'neck mass': 0.4966887417218543, 'ear pain': 0.4966887417218543, 'neck swelling': 0.5408388520971302, 'fever': 0.5320088300220751}",0.02
lymphangitis,"{'arm pain': 1.0, 'neck swelling': 1.0}",0.005
lymphedema,"{'throat swelling': 0.6673267326732674, 'leg pain': 0.500990099009901, 'abnormal appearing skin': 0.5168316831683168, 'skin lesion': 0.5267326732673268, 'peripheral edema': 0.495049504950495, 'leg swelling': 0.5128712871287129, 'foot or toe swelling': 0.6693069306930693, 'lymphedema': 0.6495049504950495, 'fluid retention': 0.5346534653465347}",0.02
lymphogranuloma venereum,"{'sore throat': 0.55, 'ear pain': 0.95, 'knee lump or mass': 0.85}",0.001
lymphoma,"{'hoarse voice': 0.7518796992481203, 'groin mass': 0.8345864661654135, 'regurgitation': 0.5789473684210527, 'neck mass': 0.5789473684210527, 'itchy ear(s)': 0.7443609022556391, 'fatigue': 0.4661654135338345, 'regurgitation.1': 0.5789473684210527}",0.005
macular degeneration,"{'diminished vision': 0.4961496149614962, 'double vision': 0.6743674367436744, 'symptoms of eye': 0.4906490649064906, 'pain in eye': 0.4972497249724972, 'abnormal movement of eyelid': 0.5082508250825083, 'foreign body sensation in eye': 0.5390539053905391, 'spots or clouds in vision': 0.4994499449944994, 'lacrimation': 0.5137513751375138, 'itchiness of eye': 0.4917491749174917, 'blindness': 0.5225522552255225, 'bleeding from eye': 0.5005500550055005}",0.05
magnesium deficiency,"{'shortness of breath': 0.8857142857142857, 'sharp chest pain': 1.0, 'dizziness': 0.7428571428571429, 'leg pain': 0.5142857142857142}",0.002
malaria,"{'fainting': 1.0, 'headache': 0.8666666666666667, 'knee lump or mass': 0.8, 'fever': 0.6666666666666666}",0.0005
male genitalia infection,"{'swelling of scrotum': 0.7753623188405797, 'pain in testicles': 0.6159420289855072, 'mass in scrotum': 0.572463768115942, 'irritable infant': 0.8260869565217391, 'abnormal appearing skin': 0.6811594202898551, 'bumps on penis': 0.6594202898550725}",0.01
malignant hypertension,"{'shortness of breath': 0.5027624309392266, 'depressive or psychotic symptoms': 0.7734806629834254, 'sharp chest pain': 0.4696132596685083, 'insomnia': 0.8232044198895028, 'vomiting': 0.5359116022099447, 'headache': 0.5524861878453039, 'lower body pain': 0.5193370165745856}",0.001
marijuana abuse,"{'anxiety and nervousness': 0.4884297520661157, 'depression': 0.4983471074380165, 'depressive or psychotic symptoms': 0.4991735537190083, 'difficulty speaking': 0.4933884297520661, 'abusing alcohol': 0.5256198347107438, 'hostile behavior': 0.5165289256198347, 'drug abuse': 0.509090909090909, 'excessive anger': 0.5198347107438016, 'delusions or hallucinations': 0.4950413223140495, 'temper problems': 0.4909090909090909, 'fears and phobias': 0.5115702479338843, 'low self-esteem': 0.5190082644628099}",0.02
mastectomy,"{'skin swelling': 0.7058823529411765, 'arm stiffness or tightness': 0.9411764705882352, 'pain or soreness of breast': 0.9411764705882352}",0.001
mastoiditis,"{'dizziness': 0.5555555555555556, 'cough': 0.75, 'nasal congestion': 0.7777777777777778, 'diminished hearing': 0.7916666666666666, 'facial pain': 0.4722222222222222, 'ear pain': 0.5208333333333334}",0.005
meckel diverticulum,"{'lower abdominal pain': 1.0, 'knee lump or mass': 1.0}",0.001
melanoma,"{'skin swelling': 0.5018450184501845, 'abnormal appearing skin': 0.5239852398523985, 'skin lesion': 0.5313653136531366, 'skin growth': 0.5424354243542435, 'irregular appearing scalp': 0.5350553505535055, 'swollen lymph nodes': 0.7933579335793358, 'skin moles': 0.5092250922509225, 'itchy eyelid': 0.6494464944649446}",0.005
meniere disease,"{'dizziness': 0.5124555160142349, 'diminished hearing': 0.5088967971530249, 'headache': 0.501779359430605, 'nausea': 0.5195729537366548, 'facial pain': 0.7829181494661922, 'ear pain': 0.6654804270462633, 'ringing in ear': 0.5231316725978647, 'allergic reaction': 0.491103202846975}",0.01
meningioma,"{'depressive or psychotic symptoms': 0.9444444444444444, 'dizziness': 1.0, 'headache': 0.7222222222222222, 'weakness': 0.7222222222222222, 'disturbance of memory': 0.7222222222222222}",0.001
meningitis,"{'cough': 0.7777777777777778, 'vomiting': 0.5286195286195287, 'headache': 0.4848484848484848, 'nausea': 0.7609427609427609, 'neck pain': 0.5117845117845118, 'neck stiffness or tightness': 0.4579124579124579, 'fever': 0.531986531986532, 'ache all over': 0.5151515151515151}",0.002
menopause,"{'vaginal itching': 0.868421052631579, 'involuntary urination': 0.8289473684210527, 'hot flashes': 0.75, 'absence of menstruation': 0.4473684210526316, 'unpredictable menstruation': 0.3947368421052631, 'sweating': 0.5789473684210527}",0.05
metabolic disorder,"{'jaundice': 0.9705882352941176, 'arm stiffness or tightness': 0.8235294117647058, 'weight gain': 0.3529411764705882, 'smoking problems': 0.4705882352941176}",0.02
metastatic cancer,"{'vaginal dryness': 0.8518518518518519, 'neck mass': 0.5555555555555556, 'decreased appetite': 0.5185185185185185, 'focal weakness': 0.5555555555555556, 'fatigue': 0.5555555555555556}",0.003
migraine,"{'dizziness': 0.5113122171945701, 'vomiting': 0.5384615384615384, 'headache': 0.502262443438914, 'nausea': 0.5656108597285068, 'diminished vision': 0.5429864253393665, 'spots or clouds in vision': 0.5339366515837104, 'blindness': 0.6561085972850679, 'symptoms of the face': 0.4841628959276018, 'disturbance of memory': 0.5158371040723982}",0.15
missed abortion,"{'blood in stool': 0.8186666666666667, 'sharp abdominal pain': 0.4986666666666666, 'lower abdominal pain': 0.4906666666666666, 'intermenstrual bleeding': 0.5386666666666666, 'pain during pregnancy': 0.4986666666666666, 'problems during pregnancy': 0.5493333333333333, 'spotting or bleeding during pregnancy': 0.528, 'cramps and spasms': 0.504, 'blood clots during menstrual periods': 0.4586666666666666}",0.01
mitral valve disease,"{'shortness of breath': 0.6785714285714286, 'sharp chest pain': 0.496031746031746, 'dizziness': 0.5158730158730159, 'chest tightness': 0.5456349206349206, 'irregular heartbeat': 0.6626984126984127, 'increased heart rate': 0.4742063492063492, 'fatigue': 0.501984126984127, 'sweating': 0.6865079365079365, 'nightmares': 0.5257936507936508}",0.005
mittelschmerz,"{'sharp abdominal pain': 0.5471698113207547, 'vomiting': 0.5849056603773585, 'diarrhea': 0.9622641509433962, 'lower abdominal pain': 0.5660377358490566, 'pelvic pain': 0.5660377358490566, 'painful menstruation': 0.5849056603773585}",0.01
molluscum contagiosum,"{'skin swelling': 0.4696673189823874, 'abnormal appearing skin': 0.6829745596868885, 'skin lesion': 0.4951076320939334, 'acne or pimples': 0.7025440313111546, 'knee lump or mass': 0.6614481409001957, 'itching of skin': 0.5244618395303327, 'skin dryness, peeling, scaliness, or roughness': 0.471624266144814, 'warts': 0.5068493150684932, 'skin rash': 0.4911937377690802}",0.005
